% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.668193787e+01 +8.668193787e+01 +1.580319379e+02 +1.580319379e+02 +8.7423e-01 -1.3838e+00 +2.3989e+00 -1.2605e+00 -2.1403e+00 +4.7509e+00 +3.3754e+00 -1.7764e+00 +2.4204e+00 -3.0227e+00 +2.0048e+00 +4.4861e+00 +3.3887e+00 +1.0794e+00 -3.8506e+00 +1.6485e+00 +3.4516e+00 -2.5949e+00 +2.8227e+00 +8.3962e-01
2 +5.203521718e+01 +5.203521718e+01 +1.233852172e+02 +1.233852172e+02 -4.9011e+00 -3.8894e+00 +1.4548e+00 -4.2019e+00 +2.9796e-01 +3.7697e+00 +2.9941e+00 +8.8493e-01 -3.0532e+00 +3.5280e-01 +3.8992e+00 -3.3893e+00 +1.6407e+00 -4.5101e-01 +1.1526e+00 -3.6721e+00 +2.8296e+00 -2.0219e+00 -3.8995e+00 -3.7416e+00
50 +3.773112606e+01 +3.773112606e+01 +1.090811261e+02 +1.090811261e+02 +3.5178e+00 +1.2716e+00 -1.3677e+00 +4.5411e+00 +1.0160e+00 +1.7119e+00 +2.9314e+00 +3.3443e+00 +2.8329e+00 +1.3716e+00 +2.3639e+00 -1.3701e+00 +1.4831e-02 -1.2087e+00 -4.6418e+00 +3.8127e-02 -2.0135e+00 +1.3499e+00 +3.2854e+00 +6.2520e-01
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.216058705e+02 +1.216058705e+02 -2.336141295e+02 -2.336141295e+02 +2.8646e+00 +4.8506e+00 +2.5947e+00 -3.3302e+00 +1.0841e+00 +4.1301e+00 -4.2765e+00 -3.9154e+00 -2.4261e+00 -2.2765e+00 -1.7154e+00 +2.6823e+00 -3.5440e+00 +1.6683e+00 -2.3362e+00 -3.8616e+00 -7.8473e-01 -4.6345e+00 -4.7212e+00 +2.6856e+00
3 +7.064081419e+01 +7.064081419e+01 -2.845791858e+02 -2.845791858e+02 +7.4403e-01 -4.5168e+00 -5.8556e-01 -1.2771e+00 -3.4059e+00 +8.9663e-01 -1.4935e+00 +1.3543e+00 +1.4003e+00 +1.3373e+00 +4.1909e+00 +4.7151e-02 +2.2918e+00 -2.9794e+00 +4.9361e+00 +4.8198e+00 -6.6698e-02 +1.2976e+00 -4.2402e+00 -8.3704e-01
4 +6.258323460e+01 +6.258323460e+01 -2.926367654e+02 -2.926367654e+02 +4.4882e+00 +3.6928e+00 +3.4489e+00 +1.7851e+00 -2.4210e+00 -6.1671e-01 -3.3192e+00 -2.4229e-01 -4.9886e+00 -4.1531e+00 -4.7123e+00 +1.7982e+00 +4.5820e+00 +3.6394e+00 -3.8124e-01 +7.4852e-01 -6.1475e-01 -4.9471e+00 +2.9578e+00 +2.8598e+00
31 +3.194000626e+01 +3.194000626e+01 -3.232799937e+02 -3.232799937e+02 +1.1382e+00 +4.3794e+00 +1.0630e+00 +2.8788e+00 +4.8352e+00 +4.7839e+00 -4.0782e+00 -1.6825e-02 +4.5430e+00 -1.5997e+00 -1.2116e+00 -3.3965e+00 -2.8552e+00 +7.9565e-01 -4.8384e-01 -5.9234e-01 +3.3689e+00 -6.7859e-01 +3.1574e+00 -2.4734e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.663453791e+01 +7.663453791e+01 +1.758045379e+02 +1.758045379e+02 -4.1173e-01 -3.8395e+00 +4.1242e+00 -3.4511e+00 +3.4252e+00 -3.2194e-02 -3.0989e+00 +4.4155e+00 -4.4205e+00 -3.2635e+00 -2.4208e+00 +3.4339e+00 -4.4259e+00 -4.1258e+00 -1.3011e+00 +1.9695e+00 -4.6830e-02 -2.9143e+00 -3.9367e-01 -4.5835e+00
