% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.596914925e+02 +3.596914925e+02 +3.073414925e+02 +3.073414925e+02 -3.9168e+00 -1.1539e+00 -4.9314e+00 -1.6461e+00 +4.5702e+00 +1.9812e-01 -2.7580e+00 +2.5013e+00 -4.8397e+00 -1.7494e+00 -2.4326e+00 -3.6043e+00 +3.3392e+00 +1.1420e+00 -2.6987e+00 -2.6667e+00 -1.0890e+00 -3.1732e+00 +4.3035e+00 -4.8792e+00
2 +9.545837334e+01 +9.545837334e+01 +4.310837334e+01 +4.310837334e+01 +2.9541e+00 -1.6262e+00 +4.5202e+00 -1.8324e+00 -3.0432e-01 +6.0983e-01 +4.5460e+00 +4.6014e+00 +3.5456e+00 -3.1920e+00 +2.9853e-01 -2.1839e+00 -2.3273e+00 -1.9981e+00 +9.5831e-01 +1.4594e-02 -1.2293e+00 -1.7569e+00 -2.3805e+00 -3.5840e+00
56 +6.009670795e+01 +6.009670795e+01 +7.746707951e+00 +7.746707951e+00 +4.2988e+00 -3.3791e+00 -3.8623e+00 -3.1831e+00 +1.6778e-02 -9.5756e-01 +1.4133e+00 -2.9215e+00 +4.4844e+00 -6.6424e-01 +2.6414e+00 +2.2502e+00 -8.8473e-01 -4.2867e+00 -1.9997e-01 -2.1886e+00 -1.6568e+00 -2.2404e-01 -1.7192e+00 -1.0692e+00
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.421246108e+02 +1.421246108e+02 -3.741538915e+01 -3.741538915e+01 +3.9688e+00 +2.2223e+00 +4.1876e+00 +1.9107e+00 -8.3214e-01 -3.8166e-02 +8.7125e-01 +4.2407e+00 -2.1280e+00 -1.1188e+00 -1.0855e+00 +2.6579e+00 +1.3659e+00 +3.1921e+00 -3.1284e+00 +5.7185e-01 +4.8593e+00 -9.6291e-01 -1.4093e+00 -9.9499e-01
6 +6.310594161e+01 +6.310594161e+01 -1.164340584e+02 -1.164340584e+02 -3.2573e+00 -4.4228e+00 +1.7623e+00 +3.5403e+00 +4.1207e+00 +2.1732e+00 -8.7649e-02 -2.4160e+00 -3.3143e+00 +6.6811e-01 +3.0945e+00 -2.9577e+00 +3.5691e-01 +1.2764e+00 +4.1401e+00 +1.9780e+00 -1.7492e-01 +3.8304e+00 +2.5787e+00 +3.1700e-01
9 +3.596149138e+01 +3.596149138e+01 -1.435785086e+02 -1.435785086e+02 -1.0181e+00 +1.9270e+00 -1.2435e+00 +2.1309e+00 +5.1606e-01 +1.7172e+00 +4.7877e+00 +4.9595e+00 +1.2246e+00 -4.3240e+00 +3.6409e-01 +3.9223e+00 -4.9395e+00 -1.4779e+00 +2.9648e+00 +1.5059e+00 +2.9579e+00 +2.0983e+00 -3.0709e+00 +1.9093e+00
% function evaluation | noise-free fitness - Fopt (7.731000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.583788524e+02 +3.583788524e+02 +4.356888524e+02 +4.356888524e+02 -3.6262e+00 +4.3993e+00 -4.4901e+00 -1.8170e+00 -1.1030e+00 -4.6920e+00 -1.6014e+00 +3.9489e-01 -1.5325e+00 +1.5270e+00 -1.1794e+00 +2.7734e-01 -2.7122e+00 -4.6339e+00 +9.5161e-01 -3.0311e+00 -2.5297e+00 +4.7550e+00 -2.1878e+00 -2.0336e+00
2 +6.655139717e+01 +6.655139717e+01 +1.438613972e+02 +1.438613972e+02 -7.4664e-01 -7.7785e-01 +4.5623e+00 +2.0451e+00 -2.0142e+00 +2.9338e+00 +2.9243e+00 -7.2245e-01 -8.0477e-01 -1.0722e+00 -1.1676e+00 +5.3920e-02 +2.0024e+00 -9.3966e-03 +4.2755e+00 +5.7792e-01 -4.3314e+00 +2.5389e+00 +1.1320e+00 -1.1075e+00
15 +5.249591621e+01 +5.249591621e+01 +1.298059162e+02 +1.298059162e+02 -3.1250e-01 -2.9000e+00 -2.8782e+00 -7.9396e-01 -5.9640e-01 -3.3283e+00 -1.1141e+00 +4.1694e+00 +4.2972e+00 +6.5540e-01 -8.3586e-01 +4.2391e+00 -1.6619e+00 -1.3673e+00 -1.0118e+00 +2.6701e+00 +3.7049e+00 +3.0736e-01 +3.1683e+00 +1.6053e+00
128 +3.831842383e+01 +3.831842383e+01 +1.156284238e+02 +1.156284238e+02 +4.7920e-01 +1.8485e+00 -1.5180e+00 +1.1682e+00 +3.1450e+00 +1.8095e-01 +4.8042e+00 -1.8579e+00 +1.6097e+00 +6.5814e-01 +2.0273e+00 +2.1864e-01 -2.8665e+00 -1.9069e-01 -1.8904e+00 +1.4561e+00 -3.7494e+00 -1.0585e-01 -2.0812e+00 +2.7171e+00
% function evaluation | noise-free fitness - Fopt (3.992000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.008353861e+02 +1.008353861e+02 +1.407553861e+02 +1.407553861e+02 +1.2138e+00 +3.0654e+00 +2.0040e+00 +4.0008e+00 -6.9623e-01 +1.1529e+00 +1.5211e-01 +4.4700e+00 -2.1444e+00 +4.1972e+00 +3.3717e+00 +4.7320e+00 +2.1045e+00 +2.4324e-01 -1.3714e+00 +1.8751e+00 -2.5785e+00 +4.5577e+00 +1.7909e+00 +8.7162e-01
3 +8.334844918e+01 +8.334844918e+01 +1.232684492e+02 +1.232684492e+02 -2.3997e+00 +1.4995e+00 +4.0122e+00 -3.5275e-02 -4.7730e+00 +3.5437e+00 +4.6167e+00 -2.1134e+00 +1.1611e+00 -3.2410e+00 +3.9530e-01 -1.2005e-01 +5.3627e-01 -4.2161e+00 -3.2753e+00 +3.2133e+00 +2.0231e+00 -4.4577e+00 -9.1367e-01 +3.3752e+00
22 +5.338361058e+01 +5.338361058e+01 +9.330361058e+01 +9.330361058e+01 -1.3760e+00 +4.7604e+00 +5.7723e-01 -3.5873e+00 -4.9733e+00 -3.5872e+00 +5.4951e-01 +1.6758e+00 +5.3167e-01 +1.6474e+00 -6.8747e-01 -8.3478e-01 -9.7168e-02 +1.7040e+00 -9.2091e-01 +1.4472e+00 -3.4653e+00 -2.7294e+00 -2.4581e+00 -3.3455e+00
