% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.062407064e+05 +3.062407064e+05 +3.056942064e+05 +3.056942064e+05 +4.9631e+00 -3.8068e+00 +8.6953e-01 +2.2153e+00 +3.7287e+00 +1.3479e+00 -1.1006e+00 +2.4487e+00 -1.9136e+00 -2.4512e+00 -3.2735e-02 +2.5754e+00 -1.1371e+00 -2.3075e+00 -2.1590e+00 +4.2476e+00 -3.5146e+00 +3.0144e+00 -4.8510e+00 -3.2215e+00
2 +7.243358120e+04 +7.243358120e+04 +7.188708120e+04 +7.188708120e+04 -4.2685e+00 -1.1030e+00 -2.2245e+00 +4.8774e+00 -5.1776e-01 -1.9150e+00 +4.3335e+00 +2.6102e+00 +3.2623e+00 +2.4705e+00 +2.3867e+00 -1.4613e+00 +3.0546e+00 +3.6319e+00 -3.2447e-01 +1.9516e-01 +4.6697e-01 +4.3244e-01 -3.9461e+00 +1.6211e+00
11 +6.229229315e+04 +6.229229315e+04 +6.174579315e+04 +6.174579315e+04 +1.4374e+00 -6.3484e-01 +3.4442e+00 -1.8631e-01 -3.3063e+00 -2.2475e+00 +3.6844e+00 +8.2616e-02 +9.6809e-01 +3.8621e+00 +1.7118e+00 +7.8813e-01 +4.0480e+00 -4.2186e+00 +8.0520e-01 +3.0967e+00 +4.4229e+00 +6.0187e-01 -3.4375e+00 +7.0602e-02
48 +3.334797959e+04 +3.334797959e+04 +3.280147959e+04 +3.280147959e+04 -4.9184e+00 -4.7879e+00 -1.1330e+00 -3.5784e+00 -2.1554e+00 -3.1047e+00 +3.7320e+00 +1.1165e+00 -1.9055e+00 +1.7276e+00 +2.5178e+00 +3.7559e+00 -2.0552e-01 -4.3192e+00 -4.3069e-01 +9.7424e-01 +2.6022e+00 -2.0089e+00 -3.7605e+00 +1.2312e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.611163532e+05 +2.611163532e+05 +2.621163532e+05 +2.621163532e+05 -3.8262e+00 -2.6666e+00 +2.4622e+00 +1.5264e+00 -1.4892e+00 +4.4090e-01 +3.6894e-01 -4.6878e+00 -3.7865e+00 -2.6777e+00 +2.7646e+00 +4.9492e+00 -9.3360e-01 -3.9329e+00 -4.2332e+00 -4.9791e+00 +4.1904e+00 +2.2815e+00 -3.7614e+00 +4.8625e+00
2 +2.257030446e+05 +2.257030446e+05 +2.267030446e+05 +2.267030446e+05 +2.7463e+00 -3.6915e+00 +4.3455e+00 +3.1578e-01 -2.8238e+00 -4.8707e+00 +9.9163e-01 +3.6854e-01 -3.8304e+00 -1.6652e+00 +2.4144e+00 +5.2687e-01 +1.4597e+00 -4.2402e+00 -1.5300e-01 +3.1248e+00 +1.0549e-01 +3.7530e+00 -3.5859e+00 -3.8558e+00
6 +1.416323432e+05 +1.416323432e+05 +1.426323432e+05 +1.426323432e+05 -1.3393e+00 -1.5305e+00 -3.8115e+00 +1.8674e+00 -1.5531e+00 +1.0909e+00 -2.7874e+00 +9.6868e-01 -2.2635e+00 -2.5162e+00 -1.3214e+00 -3.3469e+00 -2.8754e+00 +2.4352e+00 +4.4272e+00 +1.9423e+00 -1.4414e+00 -1.3597e+00 +1.7688e+00 +2.0505e+00
16 +7.535569830e+04 +7.535569830e+04 +7.635569830e+04 +7.635569830e+04 +1.5301e+00 +4.9907e+00 +1.8250e+00 +3.9397e+00 -3.5396e+00 -2.7935e-02 -2.8104e+00 +5.3109e-01 -3.3139e+00 -2.3398e+00 -2.1823e-01 +3.1305e+00 -4.3085e+00 -8.1015e-01 +2.8349e+00 +5.4539e-01 -2.2738e+00 -4.3573e+00 -1.2615e+00 +3.0982e+00
34 +5.034793047e+04 +5.034793047e+04 +5.134793047e+04 +5.134793047e+04 -1.2560e-01 -7.9628e-01 +2.4640e+00 -2.1861e+00 +6.1471e-01 -3.2564e+00 -2.2897e-01 +4.4880e+00 -4.3980e+00 -3.0623e+00 -1.6133e+00 +3.5254e+00 -4.6655e+00 -2.2182e+00 +1.1640e+00 -1.7756e+00 -1.4473e+00 -2.5890e+00 -3.7336e+00 +1.4358e+00
139 +2.680157896e+04 +2.680157896e+04 +2.780157896e+04 +2.780157896e+04 -3.9267e+00 -1.5220e+00 +1.7135e+00 +8.9474e-02 -2.4515e+00 -2.7378e+00 -2.1620e+00 +8.5467e-01 -2.5749e+00 -4.0138e-01 +8.9714e-01 +9.6307e-01 -1.0714e+00 -2.5003e+00 -3.3944e+00 -1.8064e+00 +9.8686e-01 -4.6904e+00 +9.2399e-01 +2.5453e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.171193961e+05 +1.171193961e+05 +1.173277761e+05 +1.173277761e+05 -1.0805e+00 -4.5061e+00 -2.6979e+00 -3.5418e+00 +7.8291e-01 +2.4964e+00 +2.5527e+00 -4.8194e+00 -7.6336e-01 -3.9882e+00 -5.3191e-01 +2.1611e-01 -7.0688e-01 +1.0036e+00 +3.7354e+00 -4.5795e+00 -7.3340e-01 +2.6241e+00 +4.0823e+00 -2.7904e+00
