% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.023659727e+07 +1.023659727e+07 +1.023638739e+07 +1.023638739e+07 +2.2134e+00 -4.8522e+00 -1.7703e+00 +4.9239e+00 -2.3011e+00 -7.5467e-01 +1.0981e+00 -2.3079e+00 -3.0686e+00 +4.4562e+00 -3.1164e+00 -3.9413e+00 -3.4779e+00 +3.4168e+00 -4.4791e+00 -1.6291e+00 +2.4706e+00 +2.1314e+00 +1.0585e+00 +1.7530e+00
7 +9.388397782e+06 +9.388397782e+06 +9.388187902e+06 +9.388187902e+06 +4.5553e+00 -2.2198e+00 +2.3177e+00 -4.3286e+00 -1.3815e+00 +1.2274e+00 -2.8155e+00 -1.3028e+00 +4.6121e+00 -4.1837e+00 +3.0308e+00 +3.3979e+00 +3.1626e+00 -3.4774e+00 +1.1213e+00 -4.7850e+00 +4.7167e+00 +4.2149e-01 -2.0635e+00 +1.4051e+00
34 +2.433672050e+06 +2.433672050e+06 +2.433462170e+06 +2.433462170e+06 +2.0156e+00 +5.1410e-01 -2.1328e+00 +6.6954e-01 +4.1626e+00 -4.5862e+00 +3.3729e+00 +1.0866e+00 -2.6760e-01 -4.7684e+00 +1.3058e+00 -3.5932e+00 -4.8289e+00 -1.9086e+00 +1.5644e+00 -3.8684e+00 -2.3862e+00 +4.1136e+00 -1.6147e+00 +9.1270e-01
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.501118051e+07 +1.501118051e+07 +1.501108842e+07 +1.501108842e+07 -1.9869e-01 -4.1225e+00 -1.8581e-01 +2.5864e+00 -1.1484e+00 +3.0220e+00 -2.6655e+00 +2.3911e+00 -2.9732e+00 -1.8381e+00 -2.3112e-01 -1.4418e+00 +2.2056e+00 +2.4907e+00 +4.7240e+00 +4.7032e+00 -1.4050e+00 +1.5526e+00 +2.9842e+00 -4.7596e+00
5 +2.319058844e+06 +2.319058844e+06 +2.318966754e+06 +2.318966754e+06 +1.6384e+00 -2.1899e+00 -8.9584e-01 -9.3077e-01 +2.1045e+00 -3.8753e+00 +2.0601e+00 +1.7117e+00 -2.6612e+00 -2.1010e+00 +4.0518e+00 -3.0927e+00 -1.7336e+00 +9.7795e-01 -3.2354e+00 -1.6898e+00 -3.5423e+00 +2.0835e+00 +1.9494e+00 -9.5108e-01
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.164445699e+07 +2.164445699e+07 +2.164436910e+07 +2.164436910e+07 -2.1405e+00 -3.3613e+00 +3.2256e-01 +2.0213e+00 +1.9212e+00 -2.2650e+00 -1.2450e+00 +3.7419e+00 +4.6172e+00 +9.0212e-01 -4.7870e+00 -1.5705e+00 -3.2340e+00 -4.8753e+00 -3.9811e+00 -5.9851e-01 +4.6570e+00 -3.0442e+00 -1.0950e+00 -9.8793e-02
2 +5.176608459e+06 +5.176608459e+06 +5.176520569e+06 +5.176520569e+06 +4.9902e+00 -5.1370e-01 -1.2994e+00 -1.6593e+00 +2.3377e+00 -6.4488e-01 -2.8724e+00 +1.9188e+00 -3.4777e+00 -9.6204e-01 +2.5738e+00 +1.2502e+00 +4.9783e+00 -4.2500e+00 -7.5550e-01 -2.7442e+00 -3.8384e+00 +1.8800e+00 -5.3311e-01 +4.7883e+00
6 +2.436000516e+06 +2.436000516e+06 +2.435912626e+06 +2.435912626e+06 -7.5384e-01 +1.1435e+00 +4.1865e-01 +1.9086e+00 -4.6549e+00 -3.3044e+00 -2.3576e-01 -2.6146e+00 +4.4052e+00 +2.2123e+00 -2.5704e+00 -3.8429e+00 +2.5767e+00 -3.5097e+00 +4.1200e+00 +5.9312e-01 +5.9940e-01 +1.2544e+00 -1.0998e+00 +3.3099e+00
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.194056596e+07 +2.194056596e+07 +2.194088615e+07 +2.194088615e+07 -2.0077e+00 +4.1820e+00 -1.0044e+00 +4.6245e+00 -7.2436e-01 -3.2632e+00 +4.7742e+00 -4.6737e+00 +1.5004e+00 -2.8261e+00 +4.3431e+00 +3.7922e+00 -1.6235e+00 -2.1983e+00 +2.9014e+00 +3.4043e+00 +3.5025e+00 -4.0157e+00 +1.8118e-01 -2.3999e+00
