% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.717356409e+03 +6.717356409e+03 +6.255266409e+03 +6.255266409e+03 -4.8290e+00 -1.7857e+00 +3.6236e+00 -1.5544e-01 +3.9033e+00 +1.5739e+00 +1.5694e+00 +3.7725e+00 -2.7809e+00 -4.8653e+00 -3.6949e+00 +9.6588e-01 +1.0062e-01 +4.7683e+00 +2.0310e+00 -5.7431e-01 -5.6033e-01 +2.7749e+00 +4.5011e+00 +9.8945e-01
2 +3.571985212e+03 +3.571985212e+03 +3.109895212e+03 +3.109895212e+03 -1.8867e+00 -4.9240e-02 +1.5880e+00 +3.8619e+00 -4.9105e+00 -4.6721e+00 -4.6052e-01 +3.3019e+00 +8.6248e-02 +1.0418e+00 -2.4786e+00 -1.2848e-01 +3.8509e+00 +1.8782e+00 -3.9210e+00 +3.4054e+00 -3.7731e+00 -2.9785e+00 +2.9181e-01 +5.7060e-01
11 +1.924187189e+03 +1.924187189e+03 +1.462097189e+03 +1.462097189e+03 +3.2688e+00 +1.1667e+00 -1.5780e+00 +4.8106e+00 +2.3012e+00 -1.4972e+00 -4.3055e+00 +1.2279e+00 +1.8612e+00 -3.9754e+00 +7.9460e-01 -6.9853e-01 +3.8557e+00 -4.7317e+00 +3.0927e+00 -1.1443e+00 -1.7322e+00 -3.7693e+00 +5.3121e-01 -4.2370e+00
20 +1.262330478e+03 +1.262330478e+03 +8.002404776e+02 +8.002404776e+02 +1.7982e-01 -4.4307e+00 -3.7654e+00 +4.7529e+00 -3.1832e+00 -4.0991e+00 -1.9116e+00 +1.0986e+00 +3.3198e+00 -3.0326e+00 +1.4797e+00 -4.9989e+00 -8.4188e-01 -2.9256e+00 -3.5542e+00 -2.1431e+00 -5.6099e-01 +8.9591e-01 +9.8169e-01 -2.0691e+00
70 +8.768769365e+02 +8.768769365e+02 +4.147869365e+02 +4.147869365e+02 -3.5782e+00 +2.0069e+00 -3.0163e+00 -3.2690e+00 +2.8641e+00 +3.0768e+00 +4.7026e-01 +3.2772e+00 -1.9504e+00 -6.8769e-01 +1.8593e+00 -4.0580e+00 -2.2822e-02 +9.5851e-01 -2.6893e+00 -1.3443e+00 -1.5258e+00 -9.3470e-01 -1.1345e+00 +3.8491e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.471760003e+02 +9.471760003e+02 +1.024836000e+03 +1.024836000e+03 -4.1261e+00 -4.4517e+00 -3.5275e+00 +3.1252e+00 -4.7352e+00 -1.9512e-02 +1.5393e+00 -7.4694e-01 +1.0764e+00 -1.1945e+00 +5.6942e-01 -3.7772e-01 +1.5722e-03 +2.2410e+00 -3.5942e+00 +1.3334e+00 +1.5734e+00 +1.3301e+00 +5.5651e-01 -1.5535e+00
96 +5.477571653e+02 +5.477571653e+02 +6.254171653e+02 +6.254171653e+02 +3.1199e+00 +1.6956e+00 -1.8587e+00 -3.3720e+00 -1.6387e+00 +1.5057e+00 +3.6617e+00 -3.7999e+00 -2.3313e+00 -4.3418e+00 +4.2718e+00 -7.1808e-01 +9.2829e-01 -8.2274e-01 +6.6863e-01 -1.0713e-01 -8.0942e-01 -6.9111e-01 +2.7194e+00 -2.2411e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.107396284e+03 +2.107396284e+03 +2.223076284e+03 +2.223076284e+03 +4.1237e+00 +2.3928e+00 +2.6332e+00 -1.2467e+00 +4.5003e+00 +2.1327e+00 -1.8406e+00 +1.9948e+00 -1.9044e+00 -4.5286e+00 -3.4852e+00 +1.7251e+00 -2.1685e-01 +3.2924e+00 +3.1836e+00 +2.8522e+00 -1.3519e+00 -4.0058e+00 +1.2506e+00 -3.2625e+00
2 +1.573987286e+03 +1.573987286e+03 +1.689667286e+03 +1.689667286e+03 -4.7302e+00 -7.3236e-01 +3.9566e+00 -3.3740e+00 +3.0412e-01 -4.4922e+00 -2.0137e+00 +1.5615e+00 -3.1827e+00 -2.0023e+00 +1.9768e+00 -2.0101e+00 +1.8437e+00 +3.7013e+00 -2.0165e+00 -1.0165e-01 -2.3430e+00 -3.4787e+00 -3.7703e+00 -2.8836e+00
48 +8.946829705e+02 +8.946829705e+02 +1.010362970e+03 +1.010362970e+03 -2.1730e+00 +1.1956e-01 +2.9411e+00 +4.1611e-01 +3.1576e+00 -6.1268e-01 +1.6839e+00 +4.9893e+00 -8.8677e-01 -4.5944e+00 -4.8342e+00 -9.4299e-01 -3.3209e+00 -5.6595e-01 -1.8682e+00 -4.3666e+00 -5.9343e-01 +1.4357e+00 +3.9864e+00 -1.1323e-01
130 +5.764234348e+02 +5.764234348e+02 +6.921034348e+02 +6.921034348e+02 -2.0384e+00 +3.0096e+00 -3.2177e+00 +1.3807e+00 +2.0990e+00 -8.0341e-01 -1.6831e+00 -5.3967e-01 -3.1048e+00 -2.8773e+00 +2.9389e+00 -3.7594e+00 -4.4523e+00 -1.9624e+00 +5.0793e-01 -6.9595e-01 +3.6596e-01 +4.1744e+00 +4.6207e+00 -4.3955e+00
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.087707674e+04 +1.087707674e+04 +1.087336674e+04 +1.087336674e+04 -4.8073e+00 +3.8871e+00 +1.8286e+00 -3.7510e-01 +4.7633e+00 -2.8995e+00 +1.6919e+00 -2.2119e+00 +4.2730e+00 +4.1303e+00 +4.9445e+00 +2.2701e+00 +2.2153e+00 +3.7765e+00 +6.5760e-01 +4.4506e+00 +3.3663e+00 +7.8962e-01 +2.0624e+00 +4.8175e+00
2 +3.483107757e+03 +3.483107757e+03 +3.479397757e+03 +3.479397757e+03 +4.7653e+00 -8.0523e-01 +3.8297e+00 -1.6800e+00 -1.6035e+00 +2.5665e+00 -4.4897e+00 -3.5298e+00 -3.2805e+00 +4.1428e-01 +9.5049e-01 -2.6352e+00 -5.0964e-01 -1.2907e+00 -3.5866e+00 +4.8143e+00 +2.5918e+00 +3.8603e+00 +4.0422e+00 -2.1669e+00
5 +1.922309862e+03 +1.922309862e+03 +1.918599862e+03 +1.918599862e+03 +4.7655e+00 -3.9555e+00 +2.5418e+00 +3.5980e+00 -2.0694e+00 +3.3225e+00 -3.8852e+00 +1.7133e+00 +3.5931e+00 +1.3031e+00 -2.3072e+00 +3.0402e+00 -1.6141e+00 -1.6196e+00 +1.6626e+00 +2.6794e+00 -4.5237e+00 +7.6824e-02 +4.1578e+00 -2.1794e+00
13 +1.126085927e+03 +1.126085927e+03 +1.122375927e+03 +1.122375927e+03 -2.5104e+00 +3.7834e+00 +1.7992e+00 +4.2469e+00 -2.4539e+00 +2.0477e-01 -2.8932e+00 +6.1231e-01 -2.8533e+00 -2.4707e+00 -4.6266e+00 -2.2222e+00 +4.7870e+00 -1.0269e+00 +1.3254e+00 -3.8299e+00 +1.7893e+00 -4.3500e+00 -5.3865e-01 -3.4906e+00
22 +7.542777689e+02 +7.542777689e+02 +7.505677689e+02 +7.505677689e+02 -4.7670e+00 -2.8903e+00 +2.0980e+00 +4.0220e+00 +3.8732e+00 +2.0241e+00 -1.5168e+00 -3.4410e+00 +2.5651e+00 -1.7475e-01 -6.8469e-02 +3.2616e+00 +1.7874e+00 -1.8120e+00 +4.6587e+00 -2.4705e+00 +3.8119e+00 +1.9672e+00 +2.9103e+00 -2.5845e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.554815518e+03 +1.554815518e+03 +1.686995518e+03 +1.686995518e+03 -3.7015e+00 -1.7399e+00 +2.9972e+00 +2.7964e+00 +2.1345e+00 -2.7088e+00 -1.5946e+00 -3.3008e+00 +4.2704e+00 +2.3278e+00 -3.2368e+00 +1.9938e+00 -4.4915e+00 +2.0525e+00 +1.9400e-01 -4.9228e+00 -4.0360e+00 -1.9720e+00 +1.2071e+00 +1.9460e+00
2 +9.613002655e+02 +9.613002655e+02 +1.093480265e+03 +1.093480265e+03 -2.3990e+00 +3.9211e+00 +1.3336e-01 +2.4602e+00 +3.2688e+00 +9.9087e-01 -4.0365e+00 -2.4949e+00 +2.7077e+00 +2.6801e-01 -1.1748e+00 -1.0369e+00 +8.0144e-01 -1.1607e+00 +4.8611e-01 -1.2680e+00 +1.5545e+00 +1.1720e+00 -4.4619e+00 +4.0966e-01
24 +6.103777726e+02 +6.103777726e+02 +7.425577726e+02 +7.425577726e+02 +4.2604e+00 +3.5706e+00 +3.4440e+00 -1.0863e+00 -1.6684e+00 +5.1670e-02 -2.7998e-01 -3.0329e+00 -2.1591e+00 +3.8224e-01 +7.1135e-01 +3.9549e+00 -4.2468e+00 +4.4283e+00 -4.2103e+00 +2.9002e+00 +5.4020e-01 +1.8965e-01 -1.4680e+00 -3.4043e+00
% function evaluation | noise-free fitness - Fopt (-4.174000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.759897702e+03 +2.759897702e+03 +2.718157702e+03 +2.718157702e+03 -6.8770e-01 +4.6447e+00 +9.0996e-01 +8.7010e-01 -1.2838e+00 -1.5911e+00 +2.5711e+00 -3.1293e+00 -4.4372e+00 -4.4257e+00 -4.1941e+00 -2.5613e+00 -4.7738e+00 -6.9349e-01 +1.7667e+00 +3.0199e+00 -5.5632e-01 +1.7065e+00 +3.3152e+00 -1.5774e+00
4 +1.917250611e+03 +1.917250611e+03 +1.875510611e+03 +1.875510611e+03 +3.1850e-01 -2.8831e+00 +4.8618e-01 -1.1836e+00 -3.1859e+00 +2.3614e+00 +4.2734e+00 +4.9724e+00 +6.9338e-01 +3.7887e+00 -1.6206e+00 -3.3759e+00 +1.7918e+00 +1.5489e+00 -2.1883e+00 -8.6630e-03 -2.2506e+00 -3.8081e+00 -2.4024e+00 -4.4658e+00
