% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.554298292e+05 +9.554298292e+05 +9.555536592e+05 +9.555536592e+05 -2.1172e+00 +4.6962e+00 -1.4868e+00 +4.7260e+00 +3.1804e+00 +4.2577e-01 -4.5626e+00 +2.7874e+00 +4.3523e+00 +9.4897e-01 -3.3442e+00 -4.2442e+00 +4.6703e+00 -1.3949e+00 +3.6462e+00 -1.2448e+00 +3.9290e+00 +2.7387e+00 -3.1266e+00 -7.6741e-01
2 +3.940564780e+05 +3.940564780e+05 +3.941803080e+05 +3.941803080e+05 -3.1824e+00 +3.0312e+00 -2.5844e+00 +1.3838e+00 +3.6045e-01 +2.5266e+00 +9.7983e-01 -4.4778e-01 +3.3815e+00 +2.8750e+00 +4.4980e+00 +3.7469e+00 +4.8305e-01 +5.3833e-01 -2.8554e-01 -7.4081e-01 +2.4383e+00 -4.7490e+00 +4.7864e+00 -3.1012e+00
6 +6.913411552e+04 +6.913411552e+04 +6.925794552e+04 +6.925794552e+04 -8.4286e-02 +2.3465e+00 -1.5226e+00 -1.3790e+00 +3.0532e+00 -8.2109e-01 -2.5595e+00 +1.3558e+00 +9.8108e-01 -1.3854e+00 +3.0876e+00 +1.0435e+00 -1.3992e-01 -6.3861e-01 +2.6939e+00 +9.8653e-01 -2.9532e+00 -1.9919e+00 +2.4602e+00 -2.0386e+00
% function evaluation | noise-free fitness - Fopt (4.751000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.416897885e+05 +4.416897885e+05 +4.417372985e+05 +4.417372985e+05 -4.7926e+00 -7.8820e-02 +5.6896e-03 +2.5041e+00 -4.0517e+00 +1.5382e-02 -4.9084e+00 +4.3974e+00 +8.9468e-01 -3.7638e+00 -4.5235e+00 -4.4762e+00 +1.1373e+00 +1.6127e+00 +1.0255e-01 +3.5189e+00 -3.3212e+00 -2.0975e+00 +6.4731e-01 +1.9030e+00
3 +2.513963304e+05 +2.513963304e+05 +2.514438404e+05 +2.514438404e+05 -1.1851e+00 -1.6085e+00 -3.6534e+00 +7.6392e-01 +2.5166e+00 +3.8927e+00 +3.4306e+00 +6.2379e-01 +4.5389e+00 -4.8035e-01 -3.2004e+00 +1.9275e+00 +9.3735e-01 -2.6417e+00 -2.1927e+00 -4.0280e+00 +4.8740e+00 -2.4371e+00 +1.7168e+00 -1.0683e+00
5 +1.904259917e+05 +1.904259917e+05 +1.904735017e+05 +1.904735017e+05 -9.6397e-04 -9.4751e-01 -4.2509e+00 -2.1199e+00 -1.5066e+00 +3.0517e+00 +5.9700e-01 -2.3980e+00 -2.1568e+00 +6.8074e-01 +3.3234e+00 -1.8815e+00 -2.9741e+00 +3.3620e+00 +1.4154e+00 -4.2352e-01 +2.2651e+00 -4.1903e+00 -1.6379e-02 +2.9668e+00
8 +1.164092938e+05 +1.164092938e+05 +1.164568038e+05 +1.164568038e+05 -4.0682e-01 +1.2774e+00 +1.1047e+00 -2.0374e-01 +2.5244e-01 -8.0211e-01 +4.7754e+00 +7.9151e-02 +8.9585e-01 +4.0067e-01 -3.0869e+00 -1.2355e+00 +3.3786e+00 -3.6168e+00 -7.8286e-01 +4.9976e+00 -4.7766e+00 +1.8292e+00 +2.7779e+00 -2.8434e+00
17 +9.808025390e+04 +9.808025390e+04 +9.812776390e+04 +9.812776390e+04 +3.8561e-01 +3.9086e+00 -1.1389e-01 +1.5952e+00 +8.5530e-02 +3.1998e+00 +1.0601e+00 -4.1725e-01 +2.0584e-01 +1.7852e-01 -1.3991e+00 -7.4406e-01 -5.2381e-02 +2.1050e+00 -6.1681e-01 -3.8624e+00 -2.7303e+00 +1.7166e+00 -4.5390e+00 -7.8036e-01
% function evaluation | noise-free fitness - Fopt (5.534000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.387051286e+05 +1.387051286e+05 +1.387604686e+05 +1.387604686e+05 +1.7400e+00 +3.7784e+00 +4.3564e+00 -1.1366e+00 -5.9002e-01 +1.9120e+00 -1.1434e+00 -1.3939e+00 -1.1027e+00 +3.1103e-01 -4.0600e+00 -2.3965e+00 +3.5204e+00 +2.1922e+00 -1.1503e+00 -1.7655e+00 +1.1533e-01 +1.3910e+00 -1.9513e-01 -3.7087e-01
109 +4.600272953e+04 +4.600272953e+04 +4.605806953e+04 +4.605806953e+04 -1.8313e+00 +1.7602e-01 +1.2330e+00 -2.8576e+00 +9.8754e-01 +1.7746e+00 -8.5162e-01 +4.9517e-01 +3.5690e-01 +3.3885e+00 +2.7157e+00 -2.0320e+00 -2.9038e+00 +2.2890e+00 +1.3196e+00 +1.6225e-01 -4.0499e-01 +4.3603e+00 -3.3768e-01 +1.9083e+00
% function evaluation | noise-free fitness - Fopt (-9.033000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
