% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.917845032e+07 +2.917845032e+07 +2.917839538e+07 +2.917839538e+07 +2.4656e+00 +1.4662e+00 -1.3800e+00 -4.7463e+00 +2.9825e+00 +4.0209e+00 +2.7762e+00 +4.3584e-01 +3.9489e+00 -7.4086e-01 -4.2728e+00 +4.0326e+00 -3.5276e-01 -1.7644e+00 -2.4300e+00 +1.4781e+00 +1.5030e+00 -3.4031e+00 +1.7541e+00 -4.2428e+00
2 +1.254201959e+07 +1.254201959e+07 +1.254196465e+07 +1.254196465e+07 +2.2657e+00 -1.6661e+00 -1.2115e+00 -7.5153e-01 +2.7231e+00 +3.4655e+00 +1.7293e+00 +1.1211e+00 +6.3866e-01 -3.8757e+00 +4.7040e+00 -4.9467e+00 +2.9489e+00 -4.9321e-01 +1.9635e+00 -1.8325e+00 -3.3222e-01 +3.2060e+00 -9.0054e-01 +4.6676e+00
4 +9.463221188e+06 +9.463221188e+06 +9.463166248e+06 +9.463166248e+06 +3.9940e+00 -3.2440e+00 -3.5009e+00 -1.2384e+00 -3.6602e+00 +5.3128e-02 -1.4915e+00 -1.7263e+00 -1.8461e+00 -1.0681e+00 +1.5176e+00 +3.0979e+00 -1.0700e+00 -4.4187e+00 -3.0321e+00 +1.2672e+00 -2.6054e+00 +4.7396e+00 -1.9851e+00 -2.4358e+00
8 +4.961373777e+06 +4.961373777e+06 +4.961318837e+06 +4.961318837e+06 +1.5443e+00 -4.6815e-01 +9.8246e-02 -7.8103e-01 +2.0319e+00 +2.4451e+00 -1.9688e+00 -2.9498e+00 -4.1844e+00 -2.7843e+00 +2.3035e+00 -1.3510e+00 -3.5770e-01 +3.7111e+00 -4.9926e+00 -1.0031e+00 -8.7165e-01 -1.1284e+00 +1.8096e-01 -2.7294e+00
116 +3.306854329e+06 +3.306854329e+06 +3.306799389e+06 +3.306799389e+06 -1.1051e+00 +3.7709e+00 +4.6798e+00 -3.8741e+00 -1.5100e+00 +1.1744e-02 +3.1113e+00 +3.7930e+00 -2.1545e+00 +1.5873e+00 -2.6683e-01 -2.2933e-01 -4.2795e+00 -1.6766e+00 +1.8997e+00 +1.6713e-01 +3.3541e+00 +4.2370e+00 -1.3733e+00 -3.3544e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.605427681e+06 +7.605427681e+06 +7.605486811e+06 +7.605486811e+06 -4.1711e+00 -1.6065e+00 +1.6230e-01 +1.4778e+00 +2.7976e+00 -1.7295e+00 -3.2588e+00 +7.7691e-01 +3.9706e+00 +8.5791e-01 +3.5368e+00 -4.7595e+00 +4.6852e+00 +1.6749e+00 -4.1860e+00 -3.0967e+00 -3.3645e+00 +1.1524e+00 +2.3717e+00 +1.9529e+00
8 +4.585706304e+06 +4.585706304e+06 +4.585765434e+06 +4.585765434e+06 +3.0618e+00 +3.5112e+00 -3.3935e+00 +3.4877e+00 -1.0222e+00 +2.2246e+00 -8.3503e-02 -2.9455e+00 -3.5541e+00 -2.6810e+00 +1.1878e+00 -1.2839e+00 -2.9883e+00 +2.3033e+00 -2.0724e+00 +2.0563e-01 +2.4278e+00 -1.6263e+00 -3.9753e+00 -4.3128e+00
22 +3.892150345e+06 +3.892150345e+06 +3.892209475e+06 +3.892209475e+06 -3.2195e+00 -4.9206e+00 -3.7711e+00 +3.2598e+00 +3.6031e+00 +1.6389e+00 -4.8519e-01 +2.2742e+00 +2.2698e+00 -3.0529e+00 +4.2497e+00 +4.2941e+00 +4.9626e+00 +1.2828e+00 +1.2825e+00 -1.1294e+00 -8.3279e-01 -2.1795e+00 +3.7975e+00 +2.7804e+00
47 +2.380840689e+06 +2.380840689e+06 +2.380899819e+06 +2.380899819e+06 -2.8980e+00 +2.6219e+00 -4.2456e+00 +1.6778e-01 +4.0770e+00 +6.2243e-02 +2.3154e+00 +4.8587e+00 -1.2794e+00 -2.9148e+00 +6.6863e-01 +2.4599e+00 -3.5069e+00 -1.4652e+00 -3.6887e+00 +3.6869e+00 -2.1352e+00 +4.6254e+00 -2.9526e+00 -2.2543e+00
% function evaluation | noise-free fitness - Fopt (-4.915300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.395388287e+06 +5.395388287e+06 +5.394896757e+06 +5.394896757e+06 -3.2070e+00 +2.3527e+00 -1.6664e+00 -2.6342e+00 -4.7051e+00 +3.6258e+00 +2.3900e-01 -4.8338e-01 +2.4098e+00 +1.0237e+00 -2.5475e+00 +3.5256e+00 +4.4680e+00 -8.9114e-01 -2.9609e+00 +4.9965e-01 +2.6308e+00 -2.0304e+00 +2.1485e+00 -8.3010e-02
17 +3.860880039e+06 +3.860880039e+06 +3.860388509e+06 +3.860388509e+06 +3.5985e-01 -1.4502e+00 -4.1148e+00 +1.5567e+00 +3.6504e+00 +3.8553e+00 +4.0803e-01 -3.9270e+00 -1.6840e-01 -2.1002e+00 -3.6015e+00 -2.7222e+00 -2.6481e+00 -3.5849e+00 -3.5010e+00 -1.7773e+00 +1.4431e+00 -2.8724e-01 +2.3057e+00 -1.6115e+00
43 +7.514587462e+05 +7.514587462e+05 +7.509672162e+05 +7.509672162e+05 +4.3040e-04 -1.2310e+00 +3.6682e+00 +4.9869e-01 +2.5722e+00 +2.5513e+00 +4.2515e+00 -2.5391e+00 -1.5522e+00 +3.7335e+00 +2.0239e+00 -9.2434e-01 -3.2578e+00 +6.2325e-01 +1.7952e+00 -3.6251e+00 +4.3075e-01 +1.7875e-01 +2.4361e+00 +4.9861e+00
