% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.798450219e+05 +3.798450219e+05 +3.799941719e+05 +3.799941719e+05 +4.5976e-01 -2.3716e-01 +4.9145e-01 -4.5725e+00 -8.4357e-01 -4.4095e+00 -1.3372e+00 +3.4319e+00 +4.9027e+00 -3.1377e+00 +1.0490e+00 -6.8858e-01 +3.4281e+00 +3.1497e+00 -3.3052e+00 -3.5731e+00 -6.3784e-01 +2.4422e+00 -4.7897e+00 +4.2871e+00
23 +2.212580029e+05 +2.212580029e+05 +2.214071529e+05 +2.214071529e+05 -9.0566e-01 -7.7813e-02 -1.3068e+00 +4.8915e-01 +6.2216e-01 -1.0466e+00 -4.0983e-01 -5.2365e-01 -1.1159e+00 -3.9131e-01 -3.2229e+00 +3.1328e-01 -9.7734e-01 -4.9420e-01 +4.2126e+00 +2.7517e+00 +3.6764e+00 +4.3678e+00 -8.5703e-01 -2.0070e+00
62 +1.213461610e+05 +1.213461610e+05 +1.214953110e+05 +1.214953110e+05 -4.5375e+00 +3.8443e-01 -2.7611e+00 +2.2281e+00 -1.1969e+00 -1.1467e-04 -1.7019e+00 +2.4431e+00 -3.2520e+00 -2.2861e+00 -4.7773e+00 +8.5498e-01 -1.7940e+00 +1.8655e+00 -4.2222e+00 -2.7692e+00 -2.3521e+00 +1.1123e+00 -4.9032e+00 -2.8198e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.093490438e+06 +1.093490438e+06 +1.092490438e+06 +1.092490438e+06 -4.1184e+00 +2.9556e+00 -1.2077e+00 -6.0463e-01 -1.1068e-02 -2.8115e-01 +4.3290e+00 +2.2167e+00 -4.0389e+00 -2.0161e+00 +1.9175e+00 -2.2468e-01 +4.9802e+00 +3.1687e+00 +1.1575e+00 +4.1783e+00 -2.4808e+00 -4.9579e+00 +4.3354e+00 +4.7462e+00
2 +7.776972359e+05 +7.776972359e+05 +7.766972359e+05 +7.766972359e+05 +3.6766e+00 -4.1216e+00 +4.1438e+00 +4.7989e+00 +1.6113e+00 +1.2931e+00 -8.6072e-01 -1.4518e+00 +3.1475e+00 +4.5949e+00 -1.6559e+00 +1.4293e+00 +1.2663e+00 -1.6123e+00 +3.9276e+00 +1.3140e+00 -3.3824e-01 -4.5736e+00 +2.4639e+00 +4.4733e+00
4 +3.442424309e+05 +3.442424309e+05 +3.432424309e+05 +3.432424309e+05 -4.5799e+00 +2.3724e+00 +9.5745e-01 +8.3351e-01 -2.2455e+00 -2.6937e+00 -8.3300e-01 +2.0200e+00 -5.4826e-01 +2.0722e+00 +8.2739e-01 -4.1952e+00 +3.4128e+00 +2.5172e+00 -4.3240e+00 +1.9009e+00 -1.4126e+00 -1.6083e-01 -1.0988e+00 -4.5755e+00
8 +1.926055024e+05 +1.926055024e+05 +1.916055024e+05 +1.916055024e+05 -4.7310e+00 +2.4937e+00 +2.1075e+00 +1.9856e+00 +9.4530e-01 -3.5952e+00 -4.3275e+00 +1.4417e+00 +3.7418e+00 +4.3363e+00 +1.3444e-01 -2.7227e+00 +3.3726e-01 +7.5802e-01 -2.5704e+00 -4.0785e-01 +2.4679e-01 +6.7041e-01 -2.4920e+00 +3.4875e+00
123 +1.269961696e+05 +1.269961696e+05 +1.259961696e+05 +1.259961696e+05 -2.7186e+00 -7.9085e-01 -1.0622e+00 -1.2965e+00 -4.2487e+00 +1.0023e+00 +7.8734e-01 -4.5245e+00 +4.6453e+00 +4.5935e+00 -3.3823e+00 +6.0895e-01 -3.1255e+00 -3.1413e+00 -2.3762e+00 -2.0072e+00 -4.4957e+00 -4.4063e+00 +1.2406e+00 +3.9626e+00
149 +9.482943855e+04 +9.482943855e+04 +9.382943855e+04 +9.382943855e+04 -1.7338e+00 -3.7768e+00 -2.7292e-01 -4.5746e-01 +3.0609e-01 +1.0413e+00 -1.2045e-01 -2.7145e+00 +1.1583e+00 +1.0382e+00 -2.4786e+00 -2.5748e+00 -2.7579e+00 -3.1742e+00 -6.6097e-02 -4.2226e+00 -2.3161e+00 +6.3898e-01 -2.5267e+00 +3.5408e+00
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.097009204e+05 +4.097009204e+05 +4.097995404e+05 +4.097995404e+05 +4.9666e+00 -6.1160e-01 +7.2711e-01 -3.5627e+00 +2.0181e+00 +2.7961e+00 -2.0529e+00 -1.7169e+00 -1.7455e+00 -1.2196e+00 -4.8824e+00 +7.2220e-01 +4.5802e+00 +8.9100e-01 -4.4315e+00 -4.7683e+00 +4.0175e+00 +3.3956e+00 -2.9138e+00 +2.1462e+00
16 +3.685435539e+05 +3.685435539e+05 +3.686421739e+05 +3.686421739e+05 -2.7760e-01 +4.6434e+00 +3.0108e+00 -1.1291e+00 +4.9642e+00 -1.7857e+00 -8.4082e-02 +4.3708e-01 -1.2305e+00 -1.8539e+00 +2.8100e+00 -1.0849e+00 +2.0491e+00 -2.4717e+00 -4.8820e-01 +1.1001e+00 +1.0335e+00 -1.7420e+00 -1.7502e+00 -4.0977e+00
37 +1.698335424e+05 +1.698335424e+05 +1.699321624e+05 +1.699321624e+05 -3.2408e+00 -1.5236e+00 -8.3649e-01 +7.1106e-01 -2.0488e+00 -1.7126e+00 -3.5998e+00 -9.6739e-01 +1.2353e+00 +7.6139e-01 -1.2021e+00 +3.8124e-01 +1.3014e+00 -6.9491e-01 -1.3501e+00 -1.3181e+00 +4.4554e+00 -3.1198e+00 -4.7735e-01 +4.9399e+00
102 +7.350711777e+04 +7.350711777e+04 +7.360573777e+04 +7.360573777e+04 -3.7612e+00 +2.5302e-01 +3.6903e+00 -9.8068e-03 -3.3777e-01 +4.3748e+00 +1.6519e+00 -3.2848e+00 -4.9904e+00 -2.8417e+00 +9.3192e-01 -1.5186e+00 +5.6702e-01 -8.6948e-02 -3.7394e+00 -3.1167e+00 -9.0744e-01 +3.1680e-01 +5.2775e-02 +1.1844e+00
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
