% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.293054810e+03 +1.293054810e+03 +2.293054810e+03 +2.293054810e+03 +3.2808e+00 +4.3834e+00 -2.0075e+00 -2.9032e+00 +8.3413e-01 +2.5624e+00 +1.6763e+00 +3.9380e+00 +4.5711e+00 +8.3584e-01 -6.7160e-01 -1.8681e+00 -1.1488e+00 +1.8933e+00 -1.0738e+00 +5.1887e-01 -3.7493e+00 +6.5158e-01 +4.2143e+00 -3.0248e+00
9 +9.418065597e+02 +9.418065597e+02 +1.941806560e+03 +1.941806560e+03 +4.2051e+00 +3.7605e+00 +2.3109e+00 +1.0207e+00 -1.6482e+00 +1.6358e+00 -1.6059e+00 +6.7503e-01 -1.7094e+00 -2.5476e+00 +1.9612e+00 -3.5511e+00 +5.8375e-01 -2.7469e+00 +3.1899e+00 -3.3576e+00 +3.9919e+00 +2.6931e+00 -6.0911e-01 -2.0639e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.278011752e+03 +1.278011752e+03 +1.348041752e+03 +1.348041752e+03 -3.1039e+00 -4.6625e-01 -4.9412e+00 +3.4259e+00 -1.1945e+00 -3.2619e+00 +4.1364e+00 +3.4338e+00 -3.6446e+00 +4.9792e+00 -2.1497e+00 +3.8659e+00 -2.2891e+00 +2.4765e+00 -2.8332e+00 +1.4328e+00 -8.7483e-01 +2.9829e+00 +1.3637e+00 -1.3999e+00
4 +8.192865265e+02 +8.192865265e+02 +8.893165265e+02 +8.893165265e+02 -2.4509e+00 -2.3011e+00 -7.3375e-01 -2.4557e+00 +3.0276e+00 -4.2674e+00 -2.8902e+00 +2.2165e+00 +1.1472e+00 -2.4730e+00 +9.3751e-01 -4.9594e+00 +1.1612e+00 -4.9554e+00 +3.6136e+00 -9.0458e-02 -3.3521e+00 +9.1617e-01 -3.0195e+00 -3.6845e+00
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.615593695e+03 +2.615593695e+03 +2.567373695e+03 +2.567373695e+03 -4.8016e+00 -3.5607e+00 +6.3654e-01 +4.7788e-01 +4.8164e+00 -3.3705e+00 -6.3341e-01 +3.2160e+00 +3.0159e+00 +2.4026e+00 -1.4420e+00 +3.4270e+00 +4.8487e+00 -2.6905e+00 +1.8846e-02 +4.4215e+00 -1.0037e+00 +2.6245e-01 +2.8928e+00 -2.9406e+00
2 +2.423697596e+03 +2.423697596e+03 +2.375477596e+03 +2.375477596e+03 +4.9016e+00 +2.8682e+00 -1.6027e+00 -1.6757e+00 -4.4242e-01 -2.8101e-01 -3.3795e+00 -2.3465e+00 -3.3419e+00 -3.3857e+00 +4.5287e+00 -1.3434e+00 -4.6112e+00 +4.5941e+00 -3.3859e+00 -1.1772e-01 +1.8677e+00 +1.9920e+00 -3.6051e+00 +1.8526e+00
4 +1.437080838e+03 +1.437080838e+03 +1.388860838e+03 +1.388860838e+03 +7.2022e-01 +2.2708e+00 -1.2508e+00 -3.1860e-01 -2.7886e+00 -3.0367e+00 +1.1166e+00 -4.7901e+00 -3.5767e+00 +4.5134e+00 -1.6626e+00 -3.6859e+00 +1.0216e+00 +3.0022e+00 -1.2431e+00 +1.0618e+00 +4.3621e+00 -3.6618e+00 -4.3542e+00 +1.5981e-01
34 +9.759063289e+02 +9.759063289e+02 +9.276863289e+02 +9.276863289e+02 -4.8367e+00 +2.9518e+00 +2.9077e+00 -1.4484e+00 -1.5717e+00 -6.6110e-01 -2.7584e+00 +9.7759e-01 -2.0306e+00 +2.2842e+00 -3.8259e+00 +2.3161e+00 +2.4702e+00 -6.8395e-01 -4.0123e-01 -2.3800e+00 -2.3357e+00 +4.2481e+00 -2.3847e+00 +4.4641e+00
