% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.341492573e+02 +8.341492573e+02 +9.367592573e+02 +9.367592573e+02 -4.0514e+00 +1.2239e+00 -3.2852e+00 +3.1091e+00 -4.1916e+00 -3.6894e+00 -3.7734e+00 +3.8351e+00 -5.5382e-01 -4.8980e+00 +3.8570e+00 -4.3714e+00 -1.6943e+00 +3.5650e+00 +1.8743e+00 +9.8569e-02 -3.3616e+00 +1.4470e+00 -2.7572e+00 +4.1282e+00
2 +5.767371175e+02 +5.767371175e+02 +6.793471175e+02 +6.793471175e+02 +3.8123e+00 -3.7254e+00 +9.0230e-01 -2.0799e+00 +6.2675e-01 +7.3038e-02 -1.2814e+00 -2.1987e+00 -5.9515e-01 +6.7208e-02 +1.3664e+00 -4.6655e-01 -4.4705e+00 -5.8908e-01 +2.7353e+00 -1.3078e+00 -1.1508e+00 -3.3090e-01 +3.3814e+00 +4.7375e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.744890529e+02 +8.744890529e+02 +9.677890529e+02 +9.677890529e+02 +3.8644e+00 +3.1884e+00 +1.7417e+00 -1.9434e+00 +2.2463e+00 -5.3969e-01 +2.9381e+00 -3.4187e+00 -9.1617e-01 +3.9836e+00 +2.7788e+00 -3.2079e+00 -4.9814e+00 -3.9883e+00 -4.6387e+00 +3.0289e-01 -6.1859e-01 +3.8386e+00 -9.6517e-01 +2.5152e+00
5 +4.816887804e+02 +4.816887804e+02 +5.749887804e+02 +5.749887804e+02 +3.9142e+00 -4.2239e+00 -1.6410e+00 -1.9187e+00 -5.7745e-01 -2.4339e+00 -6.0653e-01 +3.1127e+00 -2.3483e+00 +1.8655e+00 -8.5034e-01 +2.2212e+00 +3.3847e+00 -2.1756e+00 +2.7082e+00 -2.4005e+00 +8.0690e-01 -1.6557e+00 -7.8059e-03 -2.9105e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.045284433e+03 +1.045284433e+03 +1.058924433e+03 +1.058924433e+03 -2.3042e+00 -4.1415e+00 +4.4134e+00 -2.5609e+00 +3.7124e-01 +4.9277e+00 +4.8843e+00 +1.8119e+00 +2.2236e+00 +3.2376e+00 +1.4895e+00 +3.5452e+00 -3.7619e+00 +3.6975e+00 +4.3651e+00 -4.0029e+00 -4.9076e+00 -2.3236e+00 +1.6138e+00 +1.5659e+00
2 +7.800094568e+02 +7.800094568e+02 +7.936494568e+02 +7.936494568e+02 +7.2121e-01 -1.4191e+00 -4.1177e+00 -1.8474e+00 +4.6155e+00 +4.3599e+00 -2.4454e+00 -1.4500e+00 -1.0877e+00 +1.2702e+00 +3.0789e+00 +1.4407e+00 +2.5804e+00 +2.8144e+00 +4.4932e+00 +2.4668e+00 -5.0978e-01 +2.1635e+00 +1.5456e+00 -6.7262e-02
7 +5.910032073e+02 +5.910032073e+02 +6.046432073e+02 +6.046432073e+02 +4.2079e+00 -5.2419e-01 -2.0137e+00 +4.5358e+00 +1.8261e+00 -4.5876e+00 +1.5618e-02 +6.4864e-01 +5.2283e-01 -4.4215e+00 -2.9641e+00 -1.5820e+00 +5.2287e-01 -3.7651e+00 +2.4395e+00 -3.1217e+00 -7.6278e-01 -4.1042e+00 +3.5943e-01 -3.8107e-01
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.335690850e+02 +8.335690850e+02 +1.028369085e+03 +1.028369085e+03 +4.8882e-01 +1.9079e+00 -4.0363e+00 +7.3178e-01 +4.7005e-02 -8.2304e-01 -3.6498e+00 -7.4797e-01 +3.5083e+00 +4.0944e+00 +1.6780e+00 +4.1910e+00 +4.3184e+00 -4.4859e+00 -3.4159e+00 -2.9757e+00 +2.9735e+00 -6.2744e-01 +1.9219e+00 +2.8239e+00
8 +6.284493169e+02 +6.284493169e+02 +8.232493169e+02 +8.232493169e+02 -4.7224e+00 +2.8171e+00 -1.8446e+00 -7.1114e-02 +3.6914e+00 +1.1387e-01 -2.4489e+00 -8.0440e-01 +3.1947e+00 +2.2447e+00 -8.8169e-01 +1.6692e-01 +4.9242e+00 -2.9144e+00 -3.2106e+00 +1.1345e+00 -1.1899e+00 -2.2196e+00 +2.1511e+00 -4.0272e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.079965079e+03 +1.079965079e+03 +9.463750790e+02 +9.463750790e+02 -3.8207e+00 -4.5382e+00 -3.8014e+00 -3.0957e+00 +2.6168e+00 -4.9764e+00 -3.9302e+00 +3.0590e+00 +4.7158e+00 +1.3900e+00 -4.5768e+00 -4.6871e+00 -1.7130e+00 -3.3654e+00 +1.4828e+00 +1.7789e+00 -3.4801e+00 -3.2856e+00 -2.6872e-01 +3.8530e+00
2 +6.793476311e+02 +6.793476311e+02 +5.457576311e+02 +5.457576311e+02 +2.0103e+00 +3.9379e+00 -2.9685e-01 -4.3473e+00 -8.7411e-01 -1.8286e+00 -1.8836e+00 +2.7340e+00 +1.3841e+00 -4.9773e-01 -1.7100e+00 -2.7057e+00 -3.0017e+00 -1.3358e+00 +3.0071e+00 +3.3212e+00 +3.2134e+00 +2.5854e+00 +4.8449e+00 +3.2890e+00
4 +5.622551758e+02 +5.622551758e+02 +4.286651758e+02 +4.286651758e+02 -2.9227e+00 -2.9084e+00 +8.2481e-01 -2.8198e+00 +2.1669e-01 -2.7081e+00 -9.5313e-01 +2.1292e+00 -3.1722e+00 +1.2350e+00 +7.5388e-02 +2.7256e+00 -3.6321e+00 +1.0528e+00 -1.1405e+00 +2.2108e+00 -3.1081e-01 +5.2208e-01 +9.5929e-01 +2.6193e+00
% function evaluation | noise-free fitness - Fopt (-8.468100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.049487913e+03 +1.049487913e+03 +2.026779127e+02 +2.026779127e+02 -2.9294e+00 -4.7715e+00 -6.7933e-01 +3.4076e+00 -4.1204e+00 -7.4171e-01 +4.8632e+00 +1.9323e+00 -1.1541e+00 +2.4992e-01 +3.7897e+00 +3.2277e+00 -3.8403e+00 -4.0723e+00 -2.7254e+00 -3.6541e+00 +3.0422e+00 -2.7732e+00 +1.6469e+00 +4.9460e+00
2 +8.788557803e+02 +8.788557803e+02 +3.204578029e+01 +3.204578029e+01 -3.6992e+00 -3.7841e+00 -3.4307e+00 +5.4865e-01 +3.6779e-02 +4.3157e+00 -2.6771e+00 +2.4672e+00 -1.1775e+00 -3.9357e+00 -1.4241e+00 -2.2066e+00 +4.0123e+00 -3.4290e+00 +1.4170e+00 -2.1526e+00 -2.4465e+00 -1.7690e+00 -1.3557e+00 +7.3022e-01
40 +5.782760326e+02 +5.782760326e+02 -2.685339674e+02 -2.685339674e+02 +1.8290e+00 -5.8645e-01 +5.6813e-01 -1.2430e+00 -9.1985e-02 -1.9048e+00 -4.7077e+00 +1.6967e+00 +8.2266e-01 -3.5775e+00 +5.0260e-01 +1.8981e+00 +2.3951e+00 +1.2405e+00 -4.8179e+00 -3.4018e+00 -8.2145e-01 -6.8622e-01 +3.7705e+00 -1.4107e+00
% function evaluation | noise-free fitness - Fopt (1.363000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.190910310e+02 +7.190910310e+02 +7.327210310e+02 +7.327210310e+02 +1.4258e+00 +4.2342e-02 +3.0356e+00 +5.6473e-02 -9.2902e-01 -4.9054e+00 -4.3897e-01 +4.3172e+00 +1.9207e+00 +1.2225e+00 -2.8178e+00 +1.5406e+00 +6.7322e-01 +4.0381e+00 +2.5326e+00 -5.5812e-01 +3.4316e+00 -4.7782e-01 +5.5426e-02 +1.9041e+00
3 +6.038911883e+02 +6.038911883e+02 +6.175211883e+02 +6.175211883e+02 -1.1442e+00 -2.8257e+00 +4.5068e+00 +1.4619e+00 +1.2966e+00 -2.6039e+00 +4.6070e+00 +3.3236e+00 +3.1999e+00 +1.0236e+00 +1.9444e+00 +9.4359e-01 +3.3107e+00 -4.4886e+00 -3.1868e+00 +2.5553e+00 +2.4294e+00 +3.8323e+00 +2.6671e+00 +8.0172e-01
101 +3.936081082e+02 +3.936081082e+02 +4.072381082e+02 +4.072381082e+02 -6.9585e-01 +3.9637e+00 +1.7695e+00 +2.0850e+00 -3.5768e+00 -7.0759e-02 +1.5217e+00 +7.0641e-01 -2.2884e+00 -2.6182e+00 +2.5009e+00 -3.7528e+00 -1.4310e+00 -2.7058e+00 +4.9367e-01 +3.0614e+00 -1.4029e+00 +3.6455e+00 +3.1549e-01 +2.3495e+00
% function evaluation | noise-free fitness - Fopt (-3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.774098897e+02 +7.774098897e+02 +7.402298897e+02 +7.402298897e+02 +1.5226e+00 +4.1426e+00 -1.1737e+00 -1.0588e+00 -1.2388e+00 -1.7867e+00 -4.6035e+00 +3.3063e+00 -3.9637e+00 -2.9428e+00 -2.0709e+00 +2.7677e+00 -4.6450e+00 +2.1482e+00 -3.2220e+00 +2.1261e+00 -1.3992e+00 -4.5889e+00 +6.8426e-01 +1.7642e-01
4 +5.352319067e+02 +5.352319067e+02 +4.980519067e+02 +4.980519067e+02 -2.6862e+00 -3.0781e+00 +1.3861e+00 +7.2796e-01 +1.5480e+00 +2.7592e+00 -1.7198e-01 -2.0717e+00 -7.8886e-02 -1.8550e+00 +4.8624e+00 -2.7023e+00 -4.0389e-01 +3.8616e+00 -7.0409e-01 -4.3388e-01 +4.4008e+00 +1.4341e+00 +3.1984e-01 -1.6133e-01
