% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.925088786e+03 +2.925088786e+03 +2.955058786e+03 +2.955058786e+03 +3.8964e+00 -4.9579e+00 +2.6855e-01 +8.9865e-01 -1.9026e+00 -6.6991e-01 -4.2121e+00 +2.8268e+00 -1.2244e+00 -1.2803e+00 +1.4370e+00 -3.3353e+00 +2.6172e+00 -1.0280e+00 +3.1121e+00 -1.9446e+00 +2.2035e+00 -3.2008e+00 +1.8383e+00 +9.6545e-01
11 +2.126022351e+03 +2.126022351e+03 +2.155992351e+03 +2.155992351e+03 -6.6165e-01 +1.7454e+00 -3.1192e+00 +2.7615e+00 +1.2358e+00 +2.4748e+00 +2.4194e+00 -3.5638e+00 +3.5906e+00 +5.2486e-02 +2.7735e+00 -1.6048e+00 -1.8243e+00 +1.6876e-01 -1.9613e+00 +1.8627e+00 -1.6077e+00 -3.4555e+00 +1.9586e+00 +1.4790e-01
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.311119598e+03 +3.311119598e+03 +3.259409598e+03 +3.259409598e+03 -4.6000e+00 +4.3359e+00 +2.8263e+00 -4.0483e+00 -3.7271e+00 -2.5519e-01 -2.2399e+00 -4.6084e-01 -6.6703e-01 -8.3332e-01 +4.7979e-01 -3.8406e+00 -4.4529e+00 -3.6759e+00 +1.1125e+00 +5.8867e-01 +1.7351e+00 -3.8898e+00 +2.5835e+00 -2.2737e-02
55 +2.170607112e+03 +2.170607112e+03 +2.118897112e+03 +2.118897112e+03 +1.4337e+00 +2.9555e+00 -2.1008e+00 -4.6318e+00 +7.7823e-01 +1.9591e+00 -1.7695e+00 +4.1264e-01 +4.3045e+00 -3.5807e+00 +4.6304e+00 -3.8701e+00 -1.5622e+00 -4.1760e+00 +1.8212e+00 -4.2463e-01 -2.8274e+00 +4.0117e+00 +2.0564e+00 +1.2868e+00
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.119349809e+03 +4.119349809e+03 +3.839399809e+03 +3.839399809e+03 -4.2414e+00 -4.4742e+00 -2.2180e-01 +8.5269e-02 +4.2087e+00 -2.9558e+00 -3.5923e+00 -2.4351e+00 +3.8308e-01 +3.4871e+00 +4.6864e+00 +2.4995e+00 -1.2438e+00 +1.9016e+00 -1.8479e+00 -4.5877e+00 -4.9617e+00 -4.0634e+00 -1.1700e+00 +4.3162e+00
2 +2.652025743e+03 +2.652025743e+03 +2.372075743e+03 +2.372075743e+03 -4.2743e+00 -3.9126e+00 -8.7549e-01 +2.9230e+00 +1.7193e+00 -3.5326e-01 -2.0345e+00 -1.7678e+00 +5.4341e-01 +4.9932e-01 +5.2545e-01 -4.3287e+00 -3.4966e+00 -2.6554e+00 +7.9167e-01 +1.6378e+00 -1.3872e+00 -2.1577e+00 -1.0493e+00 -1.2413e+00
5 +2.388637188e+03 +2.388637188e+03 +2.108687188e+03 +2.108687188e+03 +8.2200e-01 +8.8071e-01 +1.9736e+00 +1.7194e+00 -1.3798e+00 +1.2731e+00 +2.5062e+00 +2.7041e+00 +3.0903e+00 -1.5727e+00 -3.9419e+00 -4.8956e+00 -5.1424e-01 +3.6357e-01 +2.3763e+00 +1.0810e+00 +3.4475e+00 -6.7948e-01 -1.3919e+00 -3.6016e+00
% function evaluation | noise-free fitness - Fopt (9.319900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.098964674e+03 +3.098964674e+03 +4.030954674e+03 +4.030954674e+03 +1.3056e+00 +1.0190e+00 +3.3909e+00 -3.9235e+00 -1.7144e+00 -2.6683e+00 +3.1848e+00 +2.2871e+00 -1.9620e+00 +1.8367e+00 -4.6332e+00 +2.1560e+00 -4.5645e+00 +4.2664e+00 +1.7524e+00 +3.4146e+00 -2.0151e+00 -2.6223e+00 -4.3867e+00 -1.1103e+00
5 +2.486387666e+03 +2.486387666e+03 +3.418377666e+03 +3.418377666e+03 +2.4865e+00 -2.4630e+00 +3.6607e-01 +3.8310e+00 -3.1001e+00 +1.2427e+00 +2.1982e+00 -4.5872e+00 -2.9512e+00 -1.7684e+00 -8.0974e-01 +4.5308e-01 +1.9631e+00 +1.0495e+00 +3.4127e+00 +2.3545e+00 +4.3153e-01 -1.6527e+00 -2.6590e+00 +9.3049e-02
% function evaluation | noise-free fitness - Fopt (1.133100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
