% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.800595308e+02 +1.800595308e+02 +1.631195308e+02 +1.631195308e+02 -4.0709e-01 -3.5403e+00 -1.4945e+00 +1.2939e+00 +3.9956e+00 +4.5693e-01 +7.9370e-01 +2.5497e+00 +2.3379e+00 +8.3072e-01 +4.6817e+00 +4.6104e+00 -3.7670e+00 -4.6743e+00 +3.5310e+00 +2.8959e+00 +3.8572e+00 +1.4641e+00 -1.9922e+00 -1.0134e+00
4 +1.356161553e+02 +1.356161553e+02 +1.186761553e+02 +1.186761553e+02 +2.3928e+00 -3.1128e+00 +3.7824e+00 -3.5061e+00 +5.8256e-01 +3.8275e+00 +3.1816e+00 +3.0950e+00 +2.0742e+00 +7.2614e-01 +2.9008e-01 -2.3710e+00 -3.7024e+00 +1.5280e+00 +4.1131e+00 -1.7904e+00 -1.1022e+00 -5.7499e-01 -1.9742e+00 -1.8356e+00
25 +9.236766171e+01 +9.236766171e+01 +7.542766171e+01 +7.542766171e+01 +3.2521e+00 +1.0004e+00 +1.0983e+00 -4.9583e+00 +4.1436e+00 -1.1072e+00 -2.8958e+00 -3.8694e+00 +3.1344e+00 -3.7754e+00 +4.6660e+00 +2.1553e+00 +4.3363e+00 -3.3346e+00 +3.2611e+00 +1.3648e+00 +2.6746e+00 +5.8137e-01 -2.9315e+00 -1.5553e+00
150 +6.085727349e+01 +6.085727349e+01 +4.391727349e+01 +4.391727349e+01 +3.3365e+00 +4.1506e+00 -4.6739e+00 -2.4934e+00 +3.2226e+00 -2.0402e-01 +3.0487e+00 +3.6799e+00 -1.0176e+00 -4.9568e+00 -2.4490e+00 -1.3510e+00 -2.1032e+00 +1.0972e+00 +4.5944e-01 +4.9945e+00 +2.7927e+00 -2.3033e+00 -6.9749e-01 +3.6038e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.544694720e+02 +2.544694720e+02 +2.732794720e+02 +2.732794720e+02 +2.4740e+00 -3.9682e+00 -8.6759e-01 -2.1508e+00 -6.2267e-01 +7.7519e-01 -4.8359e+00 -2.0437e+00 -2.1104e+00 -2.6155e+00 +8.5168e-02 -1.5648e+00 -4.2320e+00 -1.1561e+00 -3.6038e+00 -6.2604e-01 +4.8181e+00 -4.4171e-01 +2.7378e+00 +1.6907e+00
3 +1.628569098e+02 +1.628569098e+02 +1.816669098e+02 +1.816669098e+02 -4.6216e+00 -1.9093e+00 -3.8134e+00 +4.9684e+00 +1.3081e+00 +2.3624e+00 +2.7507e+00 +2.3674e+00 -4.7569e+00 +2.1625e+00 +5.2175e-01 -4.5413e+00 +4.4125e+00 -4.8384e-01 +5.4732e-01 -2.2377e+00 +2.8266e+00 +1.0880e+00 +1.1818e+00 +4.4475e+00
4 +1.240049409e+02 +1.240049409e+02 +1.428149409e+02 +1.428149409e+02 -3.4011e-01 +5.1163e-01 +4.9335e+00 -2.2142e+00 -4.3956e+00 +7.1684e-01 -3.1618e+00 +3.9780e+00 -5.6983e-01 -4.8581e+00 -1.2054e+00 -3.4292e+00 -8.9455e-02 +2.1397e+00 +4.1333e+00 +8.1056e-01 -9.9508e-01 +4.5874e+00 +3.5892e+00 -3.6453e-01
7 +6.203492083e+01 +6.203492083e+01 +8.084492083e+01 +8.084492083e+01 +4.3548e-01 -3.0938e+00 +1.1595e+00 +2.4723e-01 +1.8548e+00 -3.2842e-01 +3.6337e+00 +4.8870e+00 -1.1397e+00 -3.1282e+00 -4.0110e+00 +2.8812e-01 -4.5219e+00 -3.2600e+00 +1.3204e+00 -5.9942e-01 -1.0477e+00 +1.5118e+00 -2.6774e-01 -6.9491e-01
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.726302338e+02 +6.726302338e+02 +9.457802338e+02 +9.457802338e+02 +9.9157e-01 -2.3332e+00 +4.0924e+00 +4.8303e+00 -3.9666e+00 -3.7031e+00 +2.5343e+00 +4.9635e+00 -4.3734e+00 -3.6375e+00 -3.1853e+00 -3.3200e+00 -1.9562e-01 +4.9231e+00 -4.8703e+00 -2.4980e+00 +2.5227e+00 -3.0788e+00 -4.1783e-01 +1.8065e+00
2 +2.918928444e+02 +2.918928444e+02 +5.650428444e+02 +5.650428444e+02 +8.2723e-01 -8.4604e-01 -1.7766e+00 -2.5833e+00 -8.0839e-01 -1.2855e+00 +5.4402e-01 +7.3715e-01 -2.0926e+00 +4.9033e+00 +2.2230e+00 +2.7798e+00 -7.6971e-01 -9.4563e-01 +4.6752e+00 +1.9715e+00 -5.9157e-01 +4.2135e-01 -2.2941e+00 +3.1949e+00
4 +1.492207567e+02 +1.492207567e+02 +4.223707567e+02 +4.223707567e+02 -3.2404e+00 -2.1736e+00 +4.2347e+00 -1.3336e+00 +3.8522e+00 -1.6155e+00 -2.8900e-01 -2.1266e+00 +1.7475e+00 -1.8876e+00 -2.6474e+00 -4.1400e-01 -4.0878e+00 +2.2208e+00 -1.0627e+00 -2.6771e+00 +2.7014e+00 -4.7354e+00 +3.1424e+00 -4.4500e+00
22 +9.816655991e+01 +9.816655991e+01 +3.713165599e+02 +3.713165599e+02 -2.6253e+00 +2.5890e+00 +1.9682e+00 +5.1557e-01 +3.8867e+00 -4.9766e+00 -2.5459e+00 -2.3412e+00 -1.3202e+00 -6.0246e-01 +1.0867e-02 -3.9371e+00 +3.4743e+00 +3.2988e+00 -9.6422e-01 -3.2943e+00 +2.3578e+00 -6.0131e-01 -4.7218e+00 +1.3733e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.344045765e+01 +8.344045765e+01 +1.206204577e+02 +1.206204577e+02 +4.0121e+00 +4.2565e+00 -3.3800e+00 -3.0735e+00 -3.7041e+00 -4.6573e+00 +2.8079e+00 -3.4665e+00 +5.2171e-01 -1.9852e+00 +4.8874e+00 +2.2986e+00 -1.5554e+00 +4.6676e+00 -3.3138e+00 -1.0703e+00 -3.8571e+00 -4.8281e+00 +1.8614e-01 -1.7509e+00
14 +5.648477282e+01 +5.648477282e+01 +9.366477282e+01 +9.366477282e+01 +4.6244e+00 -1.4400e+00 -6.9832e-01 -2.4344e-01 -3.6110e+00 -4.6225e-01 +2.1696e+00 -2.7993e+00 +3.9236e+00 +2.0765e+00 -4.2414e+00 -1.2165e+00 +4.0461e+00 +2.4744e+00 -1.2966e+00 +4.6007e+00 +1.6075e+00 +1.1097e+00 -4.9620e+00 +1.3311e+00
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.432483453e+01 +7.432483453e+01 -7.357516547e+01 -7.357516547e+01 -3.0330e+00 +2.1105e+00 +2.2080e+00 +2.5011e+00 +4.7795e+00 +1.8708e+00 -4.4825e+00 -4.4792e+00 -2.7168e+00 -7.8129e-01 +2.9647e+00 +1.7142e+00 +2.7454e+00 +2.8151e+00 +3.6478e-01 +5.2807e-01 -1.4635e+00 +1.8301e-01 +1.0855e-01 -3.9895e+00
28 +6.225657531e+01 +6.225657531e+01 -8.564342469e+01 -8.564342469e+01 +1.8491e-01 +6.6236e-01 -1.9337e-01 -4.3437e+00 +5.6947e-01 +4.2000e-01 +4.4641e-01 +4.5641e+00 +5.7687e-01 -9.2437e-01 -7.9421e-01 +4.5982e+00 +4.8277e+00 -1.6747e+00 +2.6196e+00 -4.1072e+00 +1.9609e+00 +2.8956e+00 -3.1310e+00 +3.5383e+00
% function evaluation | noise-free fitness - Fopt (1.162600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.086398352e+02 +2.086398352e+02 +3.248998352e+02 +3.248998352e+02 +8.8051e-01 -1.7125e+00 +3.1337e+00 +2.7796e+00 -4.6582e+00 +7.8649e-01 -2.6157e+00 -1.8209e+00 +4.9385e+00 -2.8299e-01 +3.3210e+00 +4.8501e-01 +3.7620e+00 +3.7035e-01 +1.3865e+00 -3.2269e+00 -3.3860e+00 +4.5952e+00 +1.1876e-01 +4.4928e+00
6 +1.462413768e+02 +1.462413768e+02 +2.625013768e+02 +2.625013768e+02 +2.9845e+00 +2.0974e+00 +3.3654e+00 +9.8718e-01 -6.3369e-01 +4.9044e+00 +1.4097e+00 -9.7038e-01 -2.4401e+00 -3.1892e+00 -1.6309e+00 -1.7096e-01 -2.0664e+00 +2.8749e+00 -3.4094e-02 +2.1105e+00 +2.8320e+00 -4.3287e+00 +5.5180e-01 +2.1031e+00
13 +9.347371747e+01 +9.347371747e+01 +2.097337175e+02 +2.097337175e+02 -2.8280e+00 +1.8962e+00 -4.0863e+00 +3.7164e+00 +2.5391e+00 +2.5550e+00 +1.5353e+00 +1.1044e+00 +1.5552e-01 +9.1312e-01 -3.7629e+00 +1.5498e-01 +1.6619e+00 +5.8674e-01 -2.8070e+00 +3.0312e-01 -1.1635e+00 -3.4258e+00 +1.5840e-01 +2.2507e+00
61 +5.932550066e+01 +5.932550066e+01 +1.755855007e+02 +1.755855007e+02 +3.4850e-01 +1.1146e+00 -7.9918e-01 -1.0005e+00 -2.7878e+00 +2.1181e+00 -4.7675e+00 -2.2980e+00 -3.0973e+00 -4.5551e-01 -3.8273e+00 +2.6836e+00 +1.8272e+00 -2.6835e+00 -4.4173e+00 +3.7352e+00 +6.6226e-01 +4.4897e+00 +2.1107e+00 +2.6396e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.421067074e+01 +9.421067074e+01 -9.057893293e+02 -9.057893293e+02 +1.1686e+00 +4.7504e-01 +2.3909e+00 -3.0399e+00 +4.1993e+00 -1.0785e+00 +4.4240e+00 +1.0359e+00 +3.7581e+00 -4.3108e+00 +4.0862e+00 +1.6817e-01 -1.6879e+00 -3.4544e-01 +2.3511e-01 +3.5884e+00 -1.3613e+00 +2.1047e+00 -2.7707e+00 +2.8164e+00
13 +6.240761610e+01 +6.240761610e+01 -9.375923839e+02 -9.375923839e+02 +1.2933e+00 -4.5035e+00 -4.8524e+00 -1.3764e+00 -3.1699e+00 -1.6155e+00 -5.4310e-01 -1.5690e+00 +1.4664e+00 +1.3226e+00 +8.2815e-02 -3.3723e-03 -3.4714e-02 -4.0826e+00 -1.3847e+00 +4.7587e+00 +1.3401e-01 +1.2746e+00 +6.8461e-01 -9.9996e-01
% function evaluation | noise-free fitness - Fopt (-9.193000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.949324630e+02 +1.949324630e+02 +1.030024630e+02 +1.030024630e+02 -2.1434e+00 +2.4664e+00 +1.0352e+00 -4.9661e+00 -4.3148e+00 -4.4344e+00 +2.2131e+00 +4.0382e+00 +6.5050e-01 +1.9745e+00 -2.3169e+00 -3.7675e+00 +3.3054e+00 -9.1221e-01 +4.0579e-01 +2.3829e+00 -1.5966e+00 +3.5148e+00 -3.3292e+00 -9.1752e-01
15 +1.404870683e+02 +1.404870683e+02 +4.855706826e+01 +4.855706826e+01 -3.3342e+00 -3.4838e+00 -5.5726e-02 +3.1983e+00 +4.6173e+00 -3.5222e+00 -3.1593e+00 +1.7955e+00 +3.8927e+00 +2.2767e+00 -4.5167e+00 +1.2284e+00 -4.6686e+00 +9.3966e-02 +1.4008e+00 -2.1168e+00 -2.6646e+00 +1.0425e+00 +1.2321e-01 -8.6915e-02
20 +9.066783270e+01 +9.066783270e+01 -1.262167301e+00 -1.262167301e+00 +4.0125e+00 +4.4375e+00 +3.6406e+00 +4.9410e+00 +2.0806e+00 -1.6952e+00 +1.9521e+00 +1.1360e+00 +4.4910e-03 -1.3646e+00 -6.1803e-01 +6.9994e-01 -7.3750e-01 -2.9861e+00 -4.1626e+00 +1.1518e+00 +5.2979e-02 +4.3066e-01 -3.3682e+00 -3.8828e+00
109 +5.016516781e+01 +5.016516781e+01 -4.176483219e+01 -4.176483219e+01 +5.7630e-01 -4.8126e+00 +2.6836e+00 +3.2846e+00 -3.0562e+00 +1.0154e+00 -1.7126e+00 +1.2911e+00 +3.7498e+00 +2.4881e+00 -1.1044e+00 -4.7601e+00 -3.3440e+00 +1.0884e+00 -3.3630e+00 -1.9335e+00 -1.4283e+00 +4.3903e+00 -3.7346e+00 -1.0456e+00
% function evaluation | noise-free fitness - Fopt (1.487500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.146830748e+02 +6.146830748e+02 +7.634330748e+02 +7.634330748e+02 -3.3402e-01 -1.0356e+00 -4.0289e+00 -3.6980e+00 +5.2828e-01 +9.2033e-01 +3.5754e+00 -2.9549e+00 -3.2646e+00 -2.3029e+00 -2.9575e+00 -2.5985e-02 +1.0233e-01 +1.4030e+00 -2.6154e+00 +2.7289e+00 -2.5489e+00 +3.6535e+00 +7.5131e-01 +1.9204e+00
2 +1.667905682e+02 +1.667905682e+02 +3.155405682e+02 +3.155405682e+02 +2.6790e+00 +3.7202e+00 -2.4689e+00 -4.4395e+00 -9.6870e-01 -3.6177e+00 +4.0290e-01 +1.3966e+00 +1.8611e+00 -3.8461e+00 +1.8965e+00 -4.8943e+00 +2.4611e+00 -3.9155e+00 +4.7826e+00 -4.2039e+00 +1.6775e-01 -1.4152e+00 -7.7832e-01 +3.6371e+00
6 +1.169246484e+02 +1.169246484e+02 +2.656746484e+02 +2.656746484e+02 +2.2817e-01 +1.7911e+00 -3.5791e+00 -2.8380e-01 +4.0496e+00 -4.6047e+00 -4.0201e+00 +1.9069e+00 +3.7559e+00 -1.1600e+00 +2.7618e+00 +3.8106e+00 +4.7025e+00 -3.7752e+00 +4.2829e+00 -1.6694e+00 +2.4921e+00 -1.6810e+00 +2.5958e+00 -3.7587e+00
15 +9.200319739e+01 +9.200319739e+01 +2.407531974e+02 +2.407531974e+02 -4.4699e+00 +3.0916e+00 -1.8058e+00 +2.2450e+00 -2.4127e+00 +3.3457e+00 -3.7512e+00 +3.0744e+00 +7.2412e-01 +4.9736e-01 +1.9817e+00 +6.3660e-01 -4.2593e+00 +4.4336e+00 -1.0083e-01 +3.6499e+00 +3.2026e+00 +2.1896e+00 -9.5972e-01 -4.5742e+00
