% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.317057544e+01 +1.317057544e+01 +2.004057544e+01 +2.004057544e+01 +2.5333e+00 -9.0630e-01 +1.9588e+00 -1.6945e+00 -1.8125e+00 +3.3285e+00 +3.8172e+00 +2.0685e+00 -4.6228e+00 +3.8595e-01 -4.0475e+00 +3.0155e+00 -4.2786e+00 -3.6869e+00 +3.6464e+00 +2.2496e-01 -2.3960e+00 -4.3026e+00 +1.4537e+00 +4.9074e-01
3 +7.480308329e+00 +7.480308329e+00 +1.435030833e+01 +1.435030833e+01 +4.1946e+00 -1.3004e+00 +4.0584e+00 -2.2758e+00 -4.6829e+00 +4.3212e+00 -4.3244e-03 -1.3738e+00 +3.3721e+00 -4.9623e+00 +1.3647e+00 +5.0667e-01 -8.9116e-01 +3.8516e+00 +4.3314e+00 +4.5139e+00 -4.2856e+00 -2.7102e+00 -2.8364e+00 +2.7255e+00
69 +4.746428310e+00 +4.746428310e+00 +1.161642831e+01 +1.161642831e+01 +9.8226e-01 -3.9469e+00 -2.8062e+00 -1.0858e+00 +2.9964e+00 -7.2452e-01 +2.7359e+00 -1.3617e+00 +1.0123e+00 -2.0111e+00 -2.9423e+00 -4.7434e+00 -1.6938e+00 -3.3102e+00 -3.3197e+00 -8.8456e-01 +3.0707e+00 +3.6835e+00 +4.5782e+00 +4.2131e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.578303605e+01 +1.578303605e+01 +1.579303605e+01 +1.579303605e+01 +4.1934e-01 -3.7794e+00 -1.1160e+00 -3.1874e+00 -2.1007e+00 +4.5182e+00 +5.4365e-01 -2.9995e+00 -4.3950e+00 -1.9827e+00 -4.8876e+00 -2.3226e+00 +1.1790e-01 +2.5854e+00 -3.9955e+00 -3.5946e+00 +2.2761e+00 +5.5448e-01 -4.5895e+00 -3.2451e+00
2 +7.131709732e+00 +7.131709732e+00 +7.141709732e+00 +7.141709732e+00 -5.7059e-02 +1.7641e+00 +2.7406e+00 -4.3858e+00 -2.0150e+00 -3.2786e+00 -2.1032e-04 +1.7215e+00 +9.4200e-02 -1.9135e-01 -2.6803e+00 -1.8336e+00 +1.0138e+00 -2.9614e+00 -1.3059e+00 +3.3201e-01 +2.8430e+00 +1.7639e+00 +1.3919e+00 -4.9115e-01
4 +5.588665903e+00 +5.588665903e+00 +5.598665903e+00 +5.598665903e+00 +2.4126e+00 -4.9933e+00 -2.9734e+00 +4.3444e+00 +3.6712e+00 +3.3323e+00 +3.2351e+00 +3.6833e+00 +4.7300e+00 +2.8979e+00 +4.5794e+00 -1.6943e+00 -4.5715e+00 -3.2253e+00 +1.5893e+00 -3.9670e+00 +1.5353e+00 -1.5426e+00 +2.0343e+00 -3.9585e-01
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.189528755e+01 +1.189528755e+01 -1.187147125e+02 -1.187147125e+02 -3.8259e-01 -3.8173e+00 -4.1301e+00 -1.9392e+00 -2.7152e+00 -4.9476e+00 +1.3185e+00 -3.4669e-01 +1.9903e+00 +3.8641e+00 -5.6295e-01 -1.1747e+00 +2.8464e-01 +1.7939e+00 +3.5806e+00 +4.3603e+00 -4.2914e+00 -4.6676e-01 +4.1035e+00 -3.9763e+00
2 +7.262848067e+00 +7.262848067e+00 -1.233471519e+02 -1.233471519e+02 +2.2106e-01 -3.2996e+00 +3.8350e+00 -4.7765e-01 +3.5456e+00 -4.7991e+00 -3.6688e+00 -4.4255e+00 -4.4836e+00 -2.4932e+00 -1.1470e+00 -3.8502e-01 -5.8863e-01 +2.0178e-01 +7.4584e-01 -4.5039e+00 +2.5361e+00 -4.5407e-01 +3.1124e+00 -4.3751e+00
