% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.359838152e+07 +3.359838152e+07 +3.359845779e+07 +3.359845779e+07 -2.6232e-01 +4.2208e+00 +4.0039e+00 -1.4713e+00 -4.4047e+00 -1.4426e+00 +6.0816e-01 +2.0925e+00 -2.7873e+00 -3.1107e+00 -1.8291e+00 -2.3410e+00 +2.6468e+00 -4.1235e-01 +1.3066e+00 +6.9091e-01 -1.4632e+00 +4.0030e+00 -8.6232e-01 +2.0980e-02
2 +1.855966922e+05 +1.855966922e+05 +1.856729622e+05 +1.856729622e+05 +3.0655e+00 -1.5379e+00 +2.9834e+00 +4.8427e+00 +2.6853e-01 -4.2456e-01 -1.8185e-01 +4.9464e+00 -4.0219e+00 +3.8398e+00 -1.0468e-01 +3.9772e+00 +3.4524e+00 +2.8706e+00 -1.1432e+00 -3.4471e+00 +3.9299e+00 -5.6192e-01 -2.8579e+00 -4.7199e+00
4 +9.514186854e+04 +9.514186854e+04 +9.521813854e+04 +9.521813854e+04 -3.9375e+00 -3.7750e+00 +4.0739e+00 -1.9996e+00 -1.0043e+00 +9.5902e-02 -1.7866e+00 -3.8021e+00 +1.5774e+00 +4.1550e+00 -4.8906e+00 +4.1090e-01 +2.5874e+00 +4.8103e+00 +1.9888e+00 -2.7217e+00 +2.5156e+00 +1.0560e+00 -4.3040e+00 +2.9445e+00
31 +2.206108626e+04 +2.206108626e+04 +2.213735626e+04 +2.213735626e+04 -1.4329e+00 -2.1825e+00 -3.4728e+00 +2.7220e+00 -2.3636e+00 -6.2487e-01 +1.3824e+00 -3.4904e+00 -4.2875e+00 -1.1059e+00 +7.1998e-01 +5.5221e-01 +2.2217e+00 -4.2222e+00 -4.3721e+00 -4.8097e+00 +3.3773e+00 +2.1820e+00 -4.9717e+00 -1.5360e+00
82 +4.485667530e+02 +4.485667530e+02 +5.248367530e+02 +5.248367530e+02 +3.7139e+00 -3.6821e+00 +1.9262e+00 -4.8923e+00 -6.1911e-02 -6.2548e-01 -4.8858e+00 +6.2796e-01 -2.5780e+00 -3.1591e+00 -3.8383e+00 +2.0039e+00 -3.4999e+00 +2.6876e+00 +1.1879e-01 -5.1973e-01 -2.8001e+00 +9.0260e-01 +2.4439e+00 -3.7617e-01
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.747744566e+06 +2.747744566e+06 +2.747722016e+06 +2.747722016e+06 +1.0014e+00 +1.5048e+00 -1.3454e+00 +1.2837e+00 -8.6288e-01 -1.2378e+00 +3.1377e-01 +4.3737e+00 -1.4580e+00 -2.5589e+00 -1.3440e+00 -3.0980e+00 +4.5418e+00 -1.3252e+00 -5.8541e-01 -1.1931e+00 -4.1987e+00 +2.9433e+00 +1.0259e+00 -3.8763e+00
4 +8.417645352e+05 +8.417645352e+05 +8.417419852e+05 +8.417419852e+05 +4.7211e+00 -1.1328e+00 -2.9217e+00 -1.3690e+00 -3.7012e+00 +1.9513e+00 +2.7084e+00 -1.6844e+00 -4.1332e+00 +1.6054e+00 -1.0745e+00 +2.3042e+00 +1.9207e-01 +1.1594e+00 +2.0740e+00 +3.1911e+00 +3.5971e+00 +1.2814e+00 +1.2974e-01 -2.7710e+00
5 +5.737963058e+05 +5.737963058e+05 +5.737737558e+05 +5.737737558e+05 +1.0865e+00 +1.3838e-01 -1.9562e+00 +1.5713e+00 -2.4848e+00 -3.7231e+00 -1.4550e+00 +2.3792e+00 -1.3497e+00 -3.7195e+00 -1.5247e+00 -4.9799e+00 +1.5540e+00 +1.5958e+00 -3.6650e+00 -1.9534e+00 +2.3510e+00 +2.8075e+00 +2.4011e+00 -2.2621e+00
6 +9.949544956e+03 +9.949544956e+03 +9.926994956e+03 +9.926994956e+03 +3.0350e+00 +3.2124e+00 +2.3287e+00 -3.0746e-01 -3.2534e+00 +2.3199e+00 -1.8221e+00 -3.2187e+00 +4.7370e+00 +2.5142e+00 +2.9298e+00 -4.3124e+00 +2.2026e+00 +3.3504e+00 -4.9581e+00 -2.1317e+00 -1.1329e+00 -1.6716e+00 -3.8818e+00 -6.1529e-01
