% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.313175590e+02 +2.313175590e+02 +3.107975590e+02 +3.107975590e+02 -4.8557e+00 +2.6381e+00 +4.1462e+00 -7.8316e-01 -2.7493e+00 +1.0553e+00 +2.6922e+00 +3.6182e+00 +4.1599e-01 -3.4093e+00 -8.4223e-01 -4.8020e+00 +2.8038e+00 +4.7591e+00 -2.3803e-01 -5.5326e-01 +2.7817e+00 -1.2330e+00 +4.8512e+00 -6.2488e-01
12 +1.382145839e+02 +1.382145839e+02 +2.176945839e+02 +2.176945839e+02 -2.6074e+00 +5.3974e-01 -2.9698e+00 +2.7202e+00 -4.5820e-01 -1.8942e-01 -4.8296e+00 +3.6233e+00 -8.0607e-01 +1.5628e+00 -6.7453e-01 -4.4117e-01 +3.1389e+00 -4.1891e+00 +3.9281e+00 +2.6977e+00 -2.2625e+00 -4.6502e+00 -1.7159e+00 +2.1620e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.796306604e+02 +2.796306604e+02 +6.741106604e+02 +6.741106604e+02 -2.2639e-01 +3.4721e+00 +3.8987e+00 +1.1965e+00 +4.3228e+00 -3.3183e-02 -3.0251e+00 -2.7222e+00 +2.7057e+00 -4.4863e+00 -2.6178e+00 +2.7786e+00 -1.8373e-01 +3.7557e+00 -2.8330e+00 -2.7006e+00 -4.8033e+00 -2.0794e+00 -2.1750e+00 -2.0065e+00
6 +1.828192639e+02 +1.828192639e+02 +5.772992639e+02 +5.772992639e+02 -3.8096e+00 -1.8265e+00 -4.6882e+00 +2.3459e+00 -1.3468e+00 -5.3884e-01 +4.5828e+00 -4.5179e+00 +2.8167e+00 +1.4440e+00 +2.6888e+00 +1.4214e+00 -2.5028e+00 +2.9335e+00 -2.4331e+00 -4.6704e+00 -3.7448e-01 -4.8742e+00 -3.6685e+00 +1.0321e+00
83 +9.708606250e+01 +9.708606250e+01 +4.915660625e+02 +4.915660625e+02 -4.1769e+00 +1.6161e+00 -6.9186e-01 +3.0644e+00 -2.6474e+00 -1.3395e+00 +4.8995e+00 +7.5056e-01 -1.8386e+00 -2.4412e-01 +2.4321e+00 +4.6985e+00 +7.2088e-01 +2.9536e+00 -2.4406e+00 +1.6460e+00 -2.3028e+00 +2.2773e+00 +4.8187e-01 +3.1605e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.497314336e+02 +2.497314336e+02 +2.621433607e+00 +2.621433607e+00 -4.7189e-01 -1.2457e-01 -3.8115e+00 +1.8321e+00 -2.5767e-01 +2.9372e+00 -4.5885e+00 +1.1659e+00 +3.2178e-01 -3.5877e+00 +2.2819e+00 +2.5549e+00 -1.6939e+00 +1.1352e+00 +1.1285e+00 +1.3114e+00 +4.7341e+00 +3.7051e+00 +3.2988e+00 -3.1872e+00
21 +1.459681065e+02 +1.459681065e+02 -1.011418935e+02 -1.011418935e+02 -1.3270e+00 +4.9434e+00 -1.4660e-01 -2.4370e+00 +1.8943e+00 +2.0708e+00 +2.4362e+00 -4.2200e+00 +4.6702e+00 +4.1717e+00 +4.0295e+00 +2.3267e+00 +1.3192e+00 -3.8087e-01 +3.9897e+00 +4.0699e-01 +7.5521e-01 +1.1432e+00 -3.3425e+00 +4.7947e+00
85 +8.648661150e+01 +8.648661150e+01 -1.606233885e+02 -1.606233885e+02 -1.8859e+00 +2.5340e+00 +3.0529e-01 -2.6853e+00 -4.7886e+00 +1.5789e+00 +1.8329e+00 -1.1403e+00 -1.8788e-01 +3.1735e-01 -2.6891e-01 +3.8377e+00 +3.4493e+00 +2.5761e+00 +5.8623e-01 -1.9607e+00 +1.4184e+00 +3.4032e+00 +1.0473e+00 -2.1094e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.643748627e+02 +3.643748627e+02 +2.123348627e+02 +2.123348627e+02 +1.0879e+00 -3.5167e-02 -1.4491e+00 -4.8846e+00 -4.9085e+00 -5.6066e-01 -2.5179e+00 -4.6578e+00 -4.7153e+00 -2.6749e+00 +2.5396e+00 +7.0399e-01 +9.2969e-02 +2.2527e+00 -3.5994e+00 -4.8463e+00 -2.7509e+00 -1.3931e+00 -1.3857e+00 -2.7767e-01
2 +2.085448774e+02 +2.085448774e+02 +5.650487735e+01 +5.650487735e+01 +2.5830e+00 -2.6629e+00 -7.8904e-01 +3.3765e+00 -7.4802e-01 -2.6474e+00 +4.3307e+00 -1.8476e+00 +4.0890e+00 +2.3267e+00 +3.0585e+00 -4.7921e+00 -1.6863e+00 -3.5315e+00 +4.3005e+00 +2.3339e+00 -1.8598e+00 -7.9836e-01 -2.5797e+00 +4.8837e+00
24 +1.159014567e+02 +1.159014567e+02 -3.613854330e+01 -3.613854330e+01 +1.3880e+00 +2.3801e+00 -2.9629e+00 +7.2700e-01 +8.1865e-01 -1.0672e+00 -4.6202e+00 +2.6997e+00 +1.3903e+00 +9.2033e-01 -2.7025e+00 +1.5649e+00 -4.0633e+00 +3.2844e+00 -4.6131e+00 -1.7910e+00 +4.6802e+00 -1.4090e+00 -1.2032e+00 +2.1315e+00
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.075883504e+02 +2.075883504e+02 +1.823383504e+02 +1.823383504e+02 -2.6666e+00 +2.2712e+00 +4.3035e+00 -1.5463e+00 -2.3749e+00 -3.7022e-01 +1.1065e-02 +4.0494e+00 -2.4697e+00 -2.3192e+00 +1.2777e+00 +3.0847e+00 -9.7800e-01 -2.7746e+00 +4.1481e+00 -3.7228e+00 +1.0736e+00 -4.4678e-01 +2.4784e+00 -1.1092e+00
21 +1.210663179e+02 +1.210663179e+02 +9.581631794e+01 +9.581631794e+01 +2.5555e+00 -1.8062e+00 -3.1493e+00 -3.5754e+00 +2.5518e+00 -2.8011e+00 -3.4413e+00 -3.3701e+00 +2.6029e+00 +3.2395e+00 +3.0742e-01 -1.7010e+00 -4.9657e+00 -3.1544e+00 +4.4087e+00 +2.0628e+00 +2.3743e+00 -2.8618e+00 -1.8582e+00 -3.7553e+00
% function evaluation | noise-free fitness - Fopt (2.230000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
