% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.558139969e+02 +3.558139969e+02 +4.352939969e+02 +4.352939969e+02 +2.5043e+00 -4.0565e+00 +3.9699e+00 -3.3497e-01 +1.4101e-01 -3.7762e+00 +2.6831e+00 +3.5814e-01 +3.9942e+00 +3.9603e+00 -1.2843e+00 +1.6157e+00 -3.6527e+00 -4.0381e+00 +3.7281e+00 -4.4536e+00 +4.9904e-02 +3.6249e+00 -3.5662e+00 -1.7091e+00
3 +1.514785138e+02 +1.514785138e+02 +2.309585138e+02 +2.309585138e+02 -1.6626e+00 -1.0384e-01 -3.0378e+00 -1.4186e+00 -2.4852e+00 -6.5818e-01 +4.2565e+00 -1.1781e+00 -1.2507e+00 -1.8444e+00 +2.3913e+00 +4.2868e+00 -3.6499e-01 -4.0361e+00 -1.4718e+00 +1.5136e+00 -1.9176e+00 -2.7550e+00 -8.5100e-01 +2.6113e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.719132374e+02 +2.719132374e+02 +6.663932374e+02 +6.663932374e+02 +3.5905e+00 -3.8388e-01 -1.2944e+00 -3.1933e+00 -4.6313e+00 -2.6630e+00 -3.7476e-01 +2.1836e+00 -3.8444e-02 +2.1363e+00 +2.4336e+00 -4.7478e-01 -1.1724e+00 +2.2893e+00 +2.0050e+00 +2.5647e-01 -8.6312e-01 -3.2497e+00 -1.1317e+00 +2.6177e+00
8 +1.782274180e+02 +1.782274180e+02 +5.727074180e+02 +5.727074180e+02 -4.2734e+00 -3.0863e+00 -2.8105e+00 -1.4487e+00 +6.2232e-01 +3.6800e+00 +4.4079e+00 +3.1729e+00 +3.7319e-01 -3.1797e-01 -2.4054e-02 -2.3839e+00 -9.2238e-01 +3.8341e+00 -2.8471e+00 +2.7791e+00 -3.8494e+00 +2.8866e+00 -4.7849e+00 -1.7436e+00
31 +1.519933593e+02 +1.519933593e+02 +5.464733593e+02 +5.464733593e+02 -4.0132e+00 -4.4674e+00 +6.7892e-01 -2.2194e+00 +3.2407e+00 +2.1134e+00 +1.7918e+00 -3.6861e+00 -1.9113e-02 -4.1881e+00 +2.8561e+00 -1.9690e+00 -5.5794e-01 +1.9913e+00 -2.9733e+00 -1.0637e+00 -1.4540e+00 -3.6819e+00 +5.3943e-01 -7.9870e-01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.001901302e+02 +4.001901302e+02 +1.530801302e+02 +1.530801302e+02 +4.2521e+00 -3.4190e+00 +3.2980e+00 +1.6387e+00 +1.1355e+00 -2.4132e+00 +3.6935e+00 -2.6658e+00 +4.8024e+00 -4.2168e+00 -3.1147e+00 -1.5733e+00 -2.6153e+00 -8.9865e-01 +1.0843e+00 -3.5072e+00 -3.8280e+00 +4.1583e+00 +2.5914e+00 -1.0505e+00
2 +1.534168197e+02 +1.534168197e+02 -9.369318035e+01 -9.369318035e+01 +3.9866e+00 +2.7425e+00 -1.2567e+00 -3.6441e+00 -3.8221e+00 +3.4480e-01 +9.7551e-01 -2.4455e+00 -1.0400e+00 +3.7408e-01 -1.9273e+00 +1.7015e+00 +1.4828e+00 -9.8937e-01 +2.6395e+00 +9.4739e-01 -2.7010e+00 -9.4232e-01 +2.2361e+00 -2.8101e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
