% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.936405050e+02 +3.936405050e+02 +3.844305050e+02 +3.844305050e+02 +3.9953e+00 +4.7655e+00 -2.8135e+00 -2.9867e+00 -5.0911e-01 +4.4907e+00 -3.2606e+00 -2.8994e+00 -4.5849e+00 -1.0743e-01 -2.9302e+00 +5.2731e-01 -2.0586e+00 +7.2830e-01 -4.9252e+00 +5.9331e-01 -6.4792e-01 -4.2563e+00 -1.8080e+00 +1.6494e+00
40 +2.434588735e+02 +2.434588735e+02 +2.342488735e+02 +2.342488735e+02 +4.9555e+00 +2.5564e+00 -2.7639e+00 +1.0358e+00 +1.3245e-01 +3.0447e+00 -4.3908e-01 -2.6638e+00 +4.7669e+00 -2.2602e+00 -4.7714e+00 -3.9046e+00 +6.2764e-01 +1.9142e+00 -1.0442e+00 -4.8187e+00 +1.5973e+00 -1.2456e+00 -7.0845e-01 +4.6721e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.064603634e+02 +5.064603634e+02 +1.162450363e+03 +1.162450363e+03 -7.5487e-01 +6.8132e-01 -1.6644e+00 +4.3215e+00 -4.4895e+00 -4.3750e+00 +2.1447e-01 +3.3027e-01 +6.0589e-01 -1.3408e+00 -1.0460e+00 +7.9264e-01 -9.6051e-01 +4.7900e+00 +1.7951e+00 -3.2062e+00 -6.1260e-01 +4.7233e+00 -2.7776e+00 -3.6892e+00
2 +3.288374580e+02 +3.288374580e+02 +9.848274580e+02 +9.848274580e+02 -2.7304e-02 +3.0317e+00 -2.6526e+00 -4.9077e+00 +4.3494e+00 +2.6583e+00 -3.9935e+00 -2.3095e+00 -3.2668e+00 -3.8679e+00 -4.6947e+00 -1.9032e+00 +1.5163e+00 -4.6827e+00 +3.2450e+00 +3.5761e+00 -2.2532e+00 +2.1927e+00 -3.3434e-01 +2.5155e+00
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.921752305e+02 +3.921752305e+02 +4.588852305e+02 +4.588852305e+02 -7.2328e-01 +3.6807e+00 -2.7606e+00 -4.1344e+00 -2.2769e+00 -9.6354e-01 +2.7901e+00 +2.9773e+00 -2.5485e-02 -4.6406e-01 +2.3124e+00 +2.5960e+00 +2.5530e+00 +1.7475e+00 -2.6569e+00 -3.1311e+00 +7.5999e-01 -1.0246e+00 -3.8186e+00 -1.7875e+00
7 +2.356224058e+02 +2.356224058e+02 +3.023324058e+02 +3.023324058e+02 -2.9683e+00 -2.3441e+00 -1.0795e+00 -4.2426e+00 -4.9630e+00 +4.9370e+00 -1.5700e-01 -4.4554e+00 +3.9683e-01 -3.1378e+00 -4.6547e+00 -3.8023e+00 -1.7792e+00 +2.6250e+00 -9.0766e-01 +4.6348e+00 -2.0590e+00 +2.0728e+00 -3.0882e+00 -4.0417e+00
% function evaluation | noise-free fitness - Fopt (9.416700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.671711288e+02 +3.671711288e+02 +1.308841129e+03 +1.308841129e+03 -1.5091e+00 -1.6416e+00 +2.2374e+00 -7.6630e-01 +2.9686e+00 -4.9119e+00 +2.0732e+00 +2.1413e+00 -2.7992e+00 -1.9281e+00 -1.4875e+00 +3.6264e+00 +2.0887e+00 -3.8144e+00 -4.4538e+00 -2.0017e+00 -2.7290e+00 -1.2224e+00 +7.5456e-01 +3.6057e+00
